"name","industry_label_list","revenue","netIncome","equity","numEmployees","locationCity_list","stockSymbol","tradedAs_list","ceo_name_list","foundingDate","founded_list"
"Information Builders","Consultant,Software","3.15E8",,,1400,"",,"","",,""
"Össur","Health care","6.86E8",,,4000,"",,"","",,""
"Österreichische Post","Logistics","1.939E9",,,20500,"",,"","",,""
"ATP Oil and Gas","Petroleum industry","312.0",,,64,"",,"","",,""
"ATS Medical","Health technology","75.7",,,245,"",,"","",,""
"SHI International Corp","Business-to-business,Information technology","1.1E10",,,5000,"",,"","",,""
"Merck Consumer Health","Fast-moving consumer goods,List of life sciences","7.5364E8",,,2000,"",,"","",,""
"JinkoSolar","Photovoltaics","5.38E9",,,13500,"",,"","",,""
"Accountor","Finance","2.21E8",,,2200,"",,"","",,""
"Huf Haus","Prefabricated home","1.0E8",,,434,"",,"","",,""
"The Biltmore Company","Hospitality industry","2.07E8",,,2400,"",,"","",,""
"Smorgon Steel","Steelmaking","3.2E9",,,5800,"",,"","",,""
"Kontron","Computer hardware","4.677E8",,,1286,"",,"","",,""
"A Place for Mom","Elderly care,Retirement home","5.0E7",,,874,"",,"","",,""
"Wind Telecom","Telecommunications","7.2E9",,,7000,"",,"","",,""
"AirBaltic","Airline","1.38E8",,,1195,"",,"","",,""
"Aegon N.V.","Financial services","25657.0",,,22400,"",,"","",,""
"Agricultural Bank of China","Bank,Financial services","6.0256E11",,,467631,"",,"","",,""
"AgustaWestland","Aerospace manufacturer","4243.0",,,12500,"",,"","",,""
"Aimco","Real estate investment trust","1.51E8",,,52,"",,"","",,""
"E-CO Energi","Electric utility","4076.0",,,172,"",,"","",,""
"EDP Group","Electric utility","15746.0",,,12084,"",,"","",,""
"Eberspächer","Automotive industry","4.0",,,9902,"",,"","",,""
"Dentsply Sirona","Dental instrument","4.03E9",,,16000,"",,"","",,""
"EOS Group","Debt collection,Financial services","853.0",,,7578,"",,"","",,""
"Eagle Materials","Building material","1.211E9",,,2220,"",,"","",,""
"Ecast, Inc.","Internet","7000000.0",,,81,"",,"","",,""
"Ecopetrol","Petroleum industry","5.0223E13",,,9315,"",,"","",,""
"ETL Group","Audit,Financial services,Legal advice,Management consulting,Tax","9.5E8",,,10000,"",,"","",,""
"EagleBank","Financial services","3.67268E8",,,515,"",,"","",,""
"Ebro Foods","Food processing","2.813E9",,,7522,"",,"","",,""
"Ecobank","Financial services","2.28E9",,,19568,"",,"","",,""
