"name","industry_label_list","revenue","netIncome","equity","numEmployees","locationCity_list","stockSymbol","tradedAs_list","ceo_name_list","foundingDate","founded_list"
"Globant","Software development","8.141E8",,,25574,"",,"","",,""
"Tractors and Farm Equipment Limited","Agricultural machinery","9.3E10",,,5000,"",,"","",,""
"Gilead Sciences","Biotechnology,Pharmaceutics","2.245E10",,,11800,"",,"","",,""
"Global Payments","Payment processor","7.4E9",,,24000,"",,"","",,""
"Gyoza no Ohsho","Foodservice","6.665E8",,,2000,"",,"","",,""
"BG Group","List of oil exploration and production companies","1.9289E10",,,5200,"",,"","",,""
"BMI Healthcare","Health care","8.34E8",,,9500,"",,"","",,""
"Grivița (vehicle manufacturer)","Bus manufacturing","2.4986575E7",,,128,"",,"","",,""
"Grupo Abril","Media conglomerate","5.0E9",,,9000,"",,"","",,""
"H.R. Owen","Car dealership","5.0E8",,,500,"",,"","",,""
"HYDAC (company)","Hydraulics","1.3E9",,,8,"",,"","",,""
"HP Inc.","Computer hardware","6.349E10","6.5E9","-1.65E9",51000,"Palo Alto,Palo Alto (Californië),Palo Alto (Califòrnia),Palo Alto (Kalifornia),Palo Alto, California,Πάλο Άλτο (Καλιφόρνια),Пало-Алто,Пало-Альто,بالو ألتو (كاليفورنيا),パロアルト (カリフォルニア州),帕羅奧圖,팰로앨토","HPQ",",NYSE:HPQ,http://dbpedia.org/resource/S&P_500","Enrique Lores",1939-01-01,"1939-01-01,2015-11-01"
"Goodman Group","Commercial property","1.5109E9",,,1000,"",,"","",,""
"Green Dot Corporation","Financial services","1254.0",,,1200,"",,"","",,""
"HSBC Bank (Brazil)","Finance","1.14E10",,,28000,"",,"","",,""
"Goldcorp","Gold mining","3510.0",,,15800,"",,"","",,""
"Grupo Aval","Holding company","9.2E9",,,78697,"",,"","",,""
"Habib's","Restaurant","2.6E9",,,14000,"",,"","",,""
"Aventics","Mechanical engineering","4.0E8",,,2100,"",,"","",,""
"Improbable (company)","Cloud computing,Information technology,Military technology,Video game","11.0",,,1000,"",,"","",,""
"Inditex","Retail","2.04E10",,,162450,"",,"","",,""
"Inpex","Petroleum industry","1202.0",,,2146,"",,"","",,""
"Intact Financial","Insurance","12143.0",,,16000,"",,"","",,""
"Ishida (company)","Machine","1.18E9",,,3688,"",,"","",,""
"Isle of Capri Casinos","Gambling","1.13E9",,,7500,"",,"","",,""
"TrønderBilene","Transport","2.46E8",,,324,"",,"","",,""
"Intelsat","Communications satellite","5.261E8",,,1790,"",,"","",,""
"Interactive Brokers","Financial services","2.218E9",,,2033,"",,"","",,""
"Iran-Venezuela Bi-National Bank","Financial services","6.23269892975E11",,,79,"",,"","",,""
"Iran-Venezuela Bi-National Bank","Financial services","7.159552078E11",,,79,"",,"","",,""
"Impol Seval","Non-ferrous metal","1.0594E8",,,534,"",,"","",,""
"Information Satellite Systems Reshetnev","Aerospace","6.25E8",,,8500,"",,"","",,""
"InnSuites Hospitality","Real estate investment trust","6000000.0",,,120,"",,"","",,""
"Institut national de l'audiovisuel","Audiovisual","37.0",,,1221,"",,"","",,""
"InternetQ","Mobile entertainment,Mobile marketing","1.3239E8",,,150,"",,"","",,""
"ImmunoGen","Biopharmaceutical","6.52E7",,,75,"",,"","",,""
"Kantar TNS","Marketing","1068.0",,,15270,"",,"","",,""
"Keihin Corporation","Automotive industry","3.51E11",,,22310,"",,"","",,""
"Keio Corporation","Public transport,Real estate,Retail","4.2919E11",,,2276,"",,"","",,""
"Keumyoung Group","Entertainment,Karaoke,Music","5.4E7",,,110,"",,"","",,""
"Maxima Group","General line of merchandise,Retail","4.228E9",,,40000,"",,"","",,""
"McClatchy","Publishing","7.09E8",,,2800,"",,"","",,""
"Meiko Maschinenbau","Electronics,Engineering,Health technology","2.6E8",,,2000,"",,"","",,""
"Mentor Graphics","Electronic design automation,Embedded software","1.28",,,5968,"",,"","",,""
"Key Tronic","Peripheral","4.34E8",,,4067,"",,"","",,""
"Maxell","Electronics industry","1.351E11",,,3966,"",,"","",,""
"Melco","Computer hardware","1.34547E11",,,50,"",,"","",,""
"Mengniu Dairy","Dairy","2.04E9",,,30000,"",,"","",,""
"Kearney (consulting firm)","Management consulting","1.4E9",,,3500,"",,"","",,""
"Keefe, Bruyette & Woods","Investment banking","4.259E8",,,585,"",,"","",,""
"Bionor Pharma","Biotechnology","1.09499E8",,,18,"",,"","",,""
"McKinsey & Company","Management consulting","1.05E10",,,30000,"",,"","",,""
"Meridian Energy","Electricity generation,Electricity retailing","2319.0",,,959,"",,"","",,""
"Mitsuba Corporation","Automotive industry","2.64E9",,,19555,"",,"","",,""
"Mettler Toledo","Scientific instrument","2.819E9",,,16500,"",,"","",,""
"Metka","Construction","4.4509E8",,,471,"",,"","",,""
"Mizuno","Sports equipment","1.48703E11",,,5368,"",,"","",,""
"Moelis & Company","Financial services","9.432E8",,,900,"",,"","",,""
"Minera IRL","Mining","4.66E7",,,196,"",,"","",,""
"Pell Frischmann","Consultant","2.37E7",,,1000,"",,"","",,""
"Pelni","Maritime transport","4.59E12",,,4379,"",,"","",,""
"Penny (supermarket)","Retail","1.03E10",,,43773,"",,"","",,""
"T4F – Time For Fun","Entertainment","2.024E8",,,1679,"",,"","",,""
"TRW Automotive","Automotive industry","1.64E10",,,66100,"",,"","",,""
"Pemex","Petroleum industry","7.4394E10",,,124818,"",,"","",,""
"TV Azteca","Mass media","3.9E9",,,6000,"",,"","",,""
"T K Group of Industries","Conglomerate (company)","5.0E9",,,50000,"",,"","",,""
"Perdigão S.A.","Food processing","8.4E9",,,45000,"",,"","",,""
"TD Securities","Financial services","3.46E9",,,4000,"",,"","",,""
"Taco John's","Restaurant","106.8",,,8000,"",,"","",,""
"Peloton Interactive","Exercise equipment","1.825E9",,,71,"",,"","",,""
"TI Fluid Systems","Automotive engineering","2814.0",,,27000,"",,"","",,""
"Taj Samudra","Hospitality industry","4.84E8",,,601,"",,"","",,""
"Technip","Engineering","1.07E10",,,37500,"",,"","",,""
"Rose Acre Farms","Poultry farming","6.0874E8",,,2000,"",,"","",,""
"Teledyne FLIR","Arms industry,Imaging,Law enforcement agency,Security,Thermography","1.923E9",,,4179,"",,"","",,""
"Taylor Morrison","Home construction","6.129E9",,,2300,"",,"","",,""
"Talanx","Financial services","4.36E10",,,23324,"",,"","",,""
"Teijin","Chemical industry","7.64E9",,,15756,"",,"","",,""
"Telephone and Data Systems","Telecommunications","5.104E9",,,9900,"",,"","",,""
"Telus Corporation","Telecommunications","1.437E10",,,65600,"",,"","",,""
"X-Fab","Microelectronics","4.776E8",,,3800,"",,"","",,""
"AMC Theatres","Entertainment","1.2424E9",,,35754,"",,"","",,""
"ASML Holding","Semiconductor industry","1.398E10",,,31000,"",,"","",,""
"Mollie Stone's Markets","Retail","1.452E8",,,1300,"",,"","",,""
"Mondi","Packaging and labeling","6663.0",,,26000,"",,"","",,""
"Morozoff Ltd.","Food industry","2.7148E8",,,749,"",,"","",,""
"23andMe","Biotechnology,Genetic genealogy","4.751E8",,,683,"",,"","",,""
"4INFO","Big data,Digital marketing,Software","2.8E7",,,45,"",,"","",,""
"A1 Srbija","Telecommunications,Wireless","2.5876E8",,,1082,"",,"","",,""
"2 Sisters Food Group","Food processing","2.69E9",,,18000,"",,"","",,""
"Morgan Stanley","Financial services","4.82E10",,,68097,"",,"","",,""
"Morgan Stanley Wealth Management","Financial services","17242.0",,,17646,"",,"","",,""
"Murray Goulburn Co-operative","Food processing","2.4E9",,,2000,"",,"","",,""
"Mubadala Investment Company","Investment","1.656E11",,,55000,"",,"","",,""
"Wayne Farms","Agribusiness,Agriculture,Food industry","1.5E9",,,9800,"",,"","",,""
"Whirlpool Corporation","Home appliance","1.945E10",,,78000,"",,"","",,""
"ElringKlinger","Automotive industry,Manufacturing","1.48E9",,,9724,"",,"","",,""
"Mutual of Omaha","Finance,Insurance","9.347",,,6314,"",,"","",,""
"EVBox","Electric vehicle charging network","7.0E7",,,750,"",,"","",,""
"Enel X","Demand response","4.72E8",,,2500,"",,"","",,""
"Washington Federal","Financial services","6.21265E8",,,1877,"",,"","",,""
"Weatherford International","Petroleum reservoir","9.433E9",,,17200,"",,"","",,""
"Vaughan Media","Broadcasting","94000.0",,,1,"",,"","",,""
"Endo International","Medication","3468.0",,,2910,"",,"","",,""
"Eskom","Energy","1.382E10",,,42749,"",,"","",,""
"Eurasia Drilling Company Limited","List of oilfield service companies","1.8E9",,,18000,"",,"","",,""
"Harmons","Retail","8.5E8",,,4000,"",,"","",,""
"Essence Global","Advertising,Information technology,Marketing","4.0E9",,,1900,"",,"","",,""
"Euromoney Institutional Investor","Business-to-business","3.361E8",,,2469,"",,"","",,""
"Airbus Helicopters","Aerospace manufacturer","5.9E9",,,20000,"",,"","",,""
"Alcon","Ophthalmology","7.4E9",,,20000,"",,"","",,""
"Assurant","Insurance","1.0094E10",,,14250,"",,"","",,""
"Atwood Oceanics","Petroleum industry","1.395E9",,,1868,"",,"","",,""
"AkzoNobel","Chemical industry","8.53E9",,,32200,"",,"","",,""
"Assiniboine Credit Union","Financial services","1.523E8",,,500,"",,"","",,""
"Attijariwafa Bank","Financial services","4.1E9",,,25754,"",,"","",,""
"Auburn National Bancorporation","Finance","3.1561E7",,,156,"",,"","",,""
"Audemars Piguet","Watchmaker","1.1E9",,,1450,"",,"","",,""
"Autodesk","Software","3.79E9",,,10100,"",,"","",,""
"Autodesk","Software","3.79E9",,,11500,"",,"","",,""
"B&Q","Retail","3.8E9",,,16717,"",,"","",,""
"BC Hydro","Electric utility","6.269E9",,,6128,"",,"","",,""
"BD (company)","Consultant,Medical device","2.0248E10",,,75000,"",,"","",,""
"BGI Group","Biotechnology,Omics,Whole genome sequencing","2.51E8",,,10000,"",,"","",,""
"BOE Technology","Electronics,Health care,Internet of things,Photovoltaics","1.456E10",,,68175,"",,"","",,""
"Dish Network","Satellite television,Telecommunications","1.5493E10",,,16000,"",,"","",,""
"Autogrill","Catering","2.0E9",,,31092,"",,"","",,""
"Avia Solutions Group","Aviation,Tourism","6.68E8",,,7000,"",,"","",,""
"Axalta","Coating","4.8E9",,,12650,"",,"","",,""
"B92","Mass media","9740000.0",,,116,"",,"","",,""
"BBC","Mass media","5.064E9",,,22219,"",,"","",,""
"BP","Petroleum industry","1.6419E11",,,60000,"",,"","",,""
"Dolby","Data compression,Noise reduction","1.082E9",,,2289,"",,"","",,""
"Avocet Mining","Mining","8.5E7",,,600,"",,"","",,""
"Domstein","Fishery","1918.0",,,585,"",,"","",,""
"Drax Group","Electric power industry","5173.0",,,3015,"",,"","",,""
"Dynetics","Aerospace,Arms industry,Automotive industry,Computer security,Information technology","293.0",,,1900,"",,"","",,""
"CeramTec","Ceramic","5.5E8",,,3400,"",,"","",,""
"Purism (company)","Computer hardware,Electronics","1000000.0",,,41,"",,"","",,""
"Pyramis","Home appliance","6.5035E7",,,420,"",,"","",,""
"Duck Commander","Clothing,Hunting","4.0E7",,,75,"",,"","",,""
"Dunnhumby","Marketing","4.44E8",,,3124,"",,"","",,""
"Positivo Tecnologia","Computer hardware,Consumer electronics,Health informatics,IT service management,Software","1.35E9",,,2090,"",,"","",,""
"Postmedia Network","Mass media","6.196E8",,,2006,"",,"","",,""
"Price Chopper and Market 32 Supermarkets","Retail","3.5E9",,,24000,"",,"","",,""
"ProAssurance","Insurance","8.74E8",,,970,"",,"","",,""
"ProBuild","Retail","3.6E9",,,9223,"",,"","",,""
"Progress Software","Software","5.313E8",,,2100,"",,"","",,""
"Prudential plc","Insurance","5.5973E10",,,23000,"",,"","",,""
"Prosper Marketplace","Financial technology,Peer-to-peer lending","1.1623E8",,,457,"",,"","",,""
"Dowa Holdings","Non-ferrous metal","4.547E11",,,6400,"",,"","",,""
"Prologis","Real estate investment trust","4.439E9",,,1945,"",,"","",,""
"Quebecor","Broadcasting,Mass media,Telecommunications","4.122E9",,,10100,"",,"","",,""
"SERA Architects","Architecture,Interior design,Urban planning","2.37E7",,,130,"",,"","",,""
"SMC Corporation","Machine","3.82E9",,,20853,"",,"","",,""
"SMC Corporation","Machine","4.58E11",,,20853,"",,"","",,""
"SOCAR","Petroleum industry","120.0",,,100000,"",,"","",,""
"Sakura Color Products Corporation","List of art media,Stationery","9.0E7",,,1200,"",,"","",,""
"SBS Transit","Public transport","1.19E9",,,10239,"",,"","",,""
"Sadia","Food processing","7.6E9",,,60580,"",,"","",,""
"SIFCO Industries","Metal","1.0E8",,,378,"",,"","",,""
"SITE Centers","Real estate investment trust","5.07E8",,,361,"",,"","",,""
"Samson AG","Biotechnology,Chemical industry,Energy industry,Food industry,Petrochemical industry,Pharmaceutical industry","6.61E8",,,4500,"",,"","",,""
"Santana Motor","Automotive industry","1.2249E7",,,1341,"",,"","",,""
"Seacret","Multi-level marketing","2.115E8",,,280,"",,"","",,""
"Sanmina Corporation","Electronics manufacturing services","6.96E9",,,40000,"",,"","",,""
"Sanoma","Mass media","1062.0",,,4800,"",,"","",,""
"Scalpers","Retail","4.2E7",,,350,"",,"","",,""
"Salomon Brothers","Financial services","9.046E9",,,7100,"",,"","",,""
"Samsung Telecommunications","Telecommunications","9.5E10",,,325000,"",,"","",,""
"Electrabel","Energy","2.22E10",,,4302,"",,"","",,""
"Turner Construction","Construction management,Consultant","1.441E10",,,10000,"",,"","",,""
"Tarmac (company)","Building material","1.8E9",,,10658,"",,"","",,""
"Uniq plc","Food","7.361E8",,,6559,"",,"","",,""
"Aaron's, Inc.","Furniture","3.94E9",,,9400,"",,"","",,""
"Abu Dhabi National Oil Company","Petroleum industry","6.0E10",,,55000,"",,"","",,""
"Actuate Corporation","Business analytics,Business intelligence,Report,Software","1.346E8",,,570,"",,"","",,""
"Eiffel (company)","Construction","7.03E8",,,4100,"",,"","",,""
"Triodos Bank","Financial services","3.051E8",,,1592,"",,"","",,""
"Abcam","Biotechnology,List of life sciences","259.0",,,1250,"",,"","",,""
"Linx (railway company)","Rail transport","4.268E8",,,170,"",,"","",,""
"Internap","IT infrastructure","3.17E8",,,600,"",,"","",,""
"Kompania Węglowa","Mining","3.4E9",,,63800,"",,"","",,""
"Actel","Integrated circuit","1.91E8",,,500,"",,"","",,""
"Aegean Airlines","Airline","4.151E8",,,2312,"",,"","",,""
"Agrial","Agriculture,Food processing","4.2E9",,,12000,"",,"","",,""
"Agroindustrial Casa Grande","Agribusiness","7.95E7",,,3261,"",,"","",,""
"AirG Inc.","Mobile game,Mobile social network","1.0E9",,,167,"",,"","",,""
"Dialog Semiconductor","Electrical engineering","1.566E9",,,1850,"",,"","",,""
"Dillard's","Retail","6.34",,,40000,"",,"","",,""
"Ebusco","Electric bus","1.0E8",,,214,"",,"","",,""
"EDGE Group","Arms industry","5.0E9",,,13000,"",,"","",,""
"EMAS (company)","Petroleum industry","9.842E8",,,5500,"",,"","",,""
"EMI","Music industry","1.072E9",,,5500,"",,"","",,""
"EToro","Cryptocurrency exchange,Electronic trading platform,Financial services,Socially responsible investing","6.05E8",,,1200,"",,"","",,""
"Del Taco","Restaurant","5.13E8",,,8000,"",,"","",,""
"Descente","Textile industry","1.231E11",,,1839,"",,"","",,""
"Deltathree","Telecommunications","2.947E7",,,155,"",,"","",,""
"Destia","Roadworks","4.897E8",,,1515,"",,"","",,""
"Diagonal View","Technology","5100000.0",,,60,"",,"","",,""
"Electrica","Electricity","6440.0",,,8000,"",,"","",,""
"Hapag-Lloyd","Containerization,Maritime transport","1.45E10",,,13117,"",,"","",,""
"Haseko","Construction,Engineering,Real estate","7.1E9",,,6602,"",,"","",,""
"Hawaiian Airlines","Airline","2.837E9",,,7299,"",,"","",,""
"Helix Energy Solutions Group","List of oilfield service companies","7.52E8",,,1650,"",,"","",,""
"Heckler & Koch","Arms industry","2.39417E8",,,923,"",,"","",,""
"Elanco","Pharmaceutical industry","3.273E9",,,10200,"",,"","",,""
"Hannover Re","Financial services","2.4E10",,,3218,"",,"","",,""
"Hazama Ando","Construction","4.079E11",,,3850,"",,"","",,""
"Halfords Autocentre","Automobile repair shop","97.0",,,1500,"",,"","",,""
"Heidrick & Struggles","Executive search","7.356E8",,,1611,"",,"","",,""
"Hengdian Group","Electronics,Film,Medication","8.12E10",,,50000,"",,"","",,""
"Le Château","Fashion","2.36876E8",,,3000,"",,"","",,""
"LendingClub","Personal finance,Software","5.745E8",,,1530,"",,"","",,""
"Light S.A.","Electricity","3.2E9",,,3732,"",,"","",,""
"Baker Tilly International","Professional services","4.04E9",,,30000,"",,"","",,""
"Liberty Media","Mass media","8.04E9",,,84,"",,"","",,""
"Linc Energy","Coal,Petroleum industry","1.2437E8",,,360,"",,"","",,""
"Storebrand","Insurance","4.824E10",,,2160,"",,"","",,""
"Sucampo Pharmaceuticals","Pharmaceutical industry","2.3E8",,,139,"",,"","",,""
"SulAmérica Seguros","Financial services","5.2E9",,,7390,"",,"","",,""
"Life Storage","Real estate investment trust","5.74E8",,,1943,"",,"","",,""
"Link Mobility Group","Telecommunications","3.539E9",,,700,"",,"","",,""
"Chess Communication","Telecommunications","9.85E8",,,50,"",,"","",,""
"Sumitomo Rubber Industries","Automotive industry","8.778E11",,,36650,"",,"","",,""
"Swiss International Air Lines","Airline","4.95E9",,,9101,"",,"","",,""
"Systime Computers","Computer hardware,Software,System integration","6.0E7",,,1370,"",,"","",,""
"UTC Climate, Controls & Security","Fire detection,Physical security,Wildfire suppression","1.7812E10",,,54998,"",,"","",,""
"Sysmex Corporation","Medical device","2.2E9",,,9231,"",,"","",,""
"Trumpf","Health technology,Machine tool","3.5E9",,,14767,"",,"","",,""
"UPM (company)","Lumber,Paper,Pulp (paper)","8.58E9",,,18000,"",,"","",,""
"Sumitomo Mitsui Construction","Construction","4.039E11",,,4444,"",,"","",,""
"Sun Life Financial","Financial services","3.967E10",,,40600,"",,"","",,""
"Super Talent Technology","Computer data storage,Computer memory","1.5E8",,,100,"",,"","",,""
"Truist Financial","Financial services","2.037E10",,,54982,"",,"","",,""
"UBS","Bank,Financial services","3.6032E10",,,71551,"",,"","",,""
"Uchumi Supermarkets","Retail","1.654E8",,,50,"",,"","",,""
"Macfarlane Group","Packaging and labeling","2.3E8",,,900,"",,"","",,""
"BlueScope","Steel","1.29E10",,,14300,"",,"","",,""
"Mace (construction company)","Construction","2036.0",,,5042,"",,"","",,""
"Marsh (company)","Professional services","5.98E9",,,30300,"",,"","",,""
"Boohoo.com","Fashion","1.235E9",,,2352,"",,"","",,""
"Brantano Footwear","Retail","2.952E8",,,2945,"",,"","",,""
"American Shipping Company","Freight transport,Shipyard","2.54E8",,,1300,"",,"","",,""
"Gaming Innovation Group","Business-to-business,Online gambling,Sports betting","4.41E7",,,600,"",,"","",,""
"Gander RV","Retail","1.32E9",,,5606,"",,"","",,""
"Gehrlicher Solar","Solar energy","3.23E8",,,150,"",,"","",,""
"GenieKnows","Internet","8400000.0",,,5,"",,"","",,""
"George Wimpey","Home construction","3147.0",,,6050,"",,"","",,""
"Boskalis","Construction,Service (economics)","2.674E9",,,13830,"",,"","",,""
"Bradley Pharmaceuticals","Pharmaceutical industry","1.45E8",,,300,"",,"","",,""
"American River Bank","Bank","2.36E7",,,107,"",,"","",,""
"Gamania","Online game","2882.0",,,1200,"",,"","",,""
"Boeing Commercial Airplanes","Aviation","3.2255E10",,,64529,"",,"","",,""
"Game Arts","Video game industry","4.56E9",,,27,"",,"","",,""
"Garmin","Technology","4.19E9",,,16000,"",,"","",,""
"Hirose Electric Group","Electronics","1.257E11",,,4044,"",,"","",,""
"Hokkaido Electric Power Company","Electric power transmission,Electricity generation","724111.0",,,10985,"",,"","",,""
"Logan's Roadhouse","Foodservice","5.37E8",,,4723,"",,"","",,""
"Hokuetsu Corporation","Pulp and paper industry","2.69E11",,,4779,"",,"","",,""
"Localiza","Car rental","2.0E9",,,5000,"",,"","",,""
"Lojas Americanas","Department store","6.0E9",,,18775,"",,"","",,""
"Archirodon","Construction","1.1E9",,,15000,"",,"","",,""
"Hi-Living","Internet","3.05E7",,,530,"",,"","",,""
"Louisiana-Pacific","Construction","2.828E9",,,3900,"",,"","",,""
"Heraeus","Technology","2.24E10",,,14883,"",,"","",,""
"Logicalis","Information technology","1.24E9",,,3500,"",,"","",,""
"Lucent","Telecommunications equipment","9.44E9",,,30500,"",,"","",,""
"Pier 1 (retail chain)","E-commerce,Retail","1.553E9",,,18000,"",,"","",,""
"Naftna Industrija Srbije","Petroleum industry","2.377E9",,,6182,"",,"","",,""
"Nasty Gal","Clothing","9.88E7",,,200,"",,"","",,""
"National General Insurance","Finance,Insurance","5.0E9",,,8440,"",,"","",,""
"Nakano Corporation","Construction","1.04E9",,,1363,"",,"","",,""
"Nakano Corporation","Construction","1.168E11",,,1363,"",,"","",,""
"Nassa Group","Conglomerate (company)","6.0E8",,,30000,"",,"","",,""
"National Beef","Food processing","7.3E9",,,8200,"",,"","",,""
"Phase One (company)","Digital imaging","4.13E8",,,300,"",,"","",,""
"Natera","Genetic testing","3.91E8",,,1815,"",,"","",,""
"Photocure","Medication","1.5E8",,,70,"",,"","",,""
"Pinnacle Foods","Food industry","3.144E9",,,4900,"",,"","",,""
"Polaris Inc.","Automotive industry,Military,Motorsport","6.782E9",,,15000,"",,"","",,""
"Poshmark","E-commerce","2.62E8",,,300,"",,"","",,""
"RT-RK","Automotive industry,Consumer electronics","3.023E7",,,579,"",,"","",,""
"Poonawalla Fincorp","Non-bank financial institution","3.03E8",,,9500,"",,"","",,""
"RB Kolubara","Coal,Smelting","4.1629E8",,,10037,"",,"","",,""
"Pliva","Pharmaceutical industry","1.174E9",,,1700,"",,"","",,""
"Raiffeisen Bank (Serbia)","Financial services","1.4335E8",,,1565,"",,"","",,""
"Pilgrim's Pride","Meat packing industry","1.07E10",,,35700,"",,"","",,""
"Randgold Resources","Mining","1280.0",,,11659,"",,"","",,""
"Redfin","Real estate","8.86E8",,,4185,"",,"","",,""
"Reed's","Drink","3.382E7",,,28,"",,"","",,""
"Spansion","Semiconductor","1.3E9",,,3700,"",,"","",,""
"Spirit Airlines","Airline","3.23E9",,,8938,"",,"","",,""
"Staples Inc.","Retail","1.4E10",,,75000,"",,"","",,""
"Stater Bros.","Grocery store","4.2E9",,,18000,"",,"","",,""
"Octapharma","Pharmaceutical industry","2.4E9",,,9067,"",,"","",,""
"Spirit AeroSystems","Aerospace,Arms industry","6.8E9",,,18200,"",,"","",,""
"Reliance Bank","Financial services","1.02E7",,,23,"",,"","",,""
"Uninett","Telecommunications","287.0",,,110,"",,"","",,""
"Srbija Voz","Rail transport","4.723E7",,,2329,"",,"","",,""
"Standard Bank","Bank","8.61E9",,,54767,"",,"","",,""
"Standard Bank Malawi","Financial services","1.59E10",,,885,"",,"","",,""
"State ECU","Financial services","3.1E7",,,178,"",,"","",,""
"Yum! Brands","Foodservice","5.597E9",,,34000,"",,"","",,""
"ZAP (motor company)","Automotive industry,Electric vehicle","-4070000.0",,,35,"",,"","",,""
"DeCODE genetics","Genetics","77.0",,,190,"",,"","",,""
"Z-CARD","Marketing","7000000.0",,,40,"",,"","",,""
"Zavarovalnica Triglav","Insurance","1184.0",,,5281,"",,"","",,""
"Ziff Davis","Digital media,Internet","1.38E9",,,4700,"",,"","",,""
"Panalpina","Transport","8.172E9",,,15000,"",,"","",,""
"Stellar (construction company)","Construction","5.85E8",,,750,"",,"","",,""
"Denofa","Manufacturing","1.3E9",,,60,"",,"","",,""
"Zotter Schokoladen Manufaktur","Chocolate","2.4E7",,,200,"",,"","",,""
"Norrmejerier","Dairy","1.5E9",,,490,"",,"","",,""
"Semapa","Conglomerate (company)","1.381E9",,,5170,"",,"","",,""
"Stifel","Investment","3.7E9",,,7100,"",,"","",,""
"Yettel Bulgaria","Mobile phone","3.5E8",,,1700,"",,"","",,""
"Yettel Serbia","Telecommunications","3.9449E8",,,791,"",,"","",,""
"Aptiv","Automotive industry","1.3066E10",,,180000,"",,"","",,""
"Argentum Fondsinvesteringer","Private equity","3.96E8",,,11,"",,"","",,""
"AppLovin","Mobile technology","1.5E9",,,1000,"",,"","",,""
"Arc Technology Group","IT service management,Information technology consulting,Web content management system","1.6",,,5,"",,"","",,""
"Aristocrat Leisure","Gambling","4397.0",,,6400,"",,"","",,""
"Arcturus Therapeutics","Pharmaceutical industry","2.1E7",,,124,"",,"","",,""
"FirstMerit Corporation","Bank,Financial services,Investment","1.1E9",,,4619,"",,"","",,""
"First Atlantic Bank","Financial services","2.8016E7",,,600,"",,"","",,""
"Fitch Ratings","Financial services","1.7E9",,,4500,"",,"","",,""
"Arctech Helsinki Shipyard","Shipbuilding","2.89338E8",,,495,"",,"","",,""
"Asahi Kasei","Chemical industry","1.85E10",,,34670,"",,"","",,""
"Aracruz Celulose","Pulp and Paper","2.0E9",,,6060,"",,"","",,""
"Netezza","Data warehouse","1.906E8",,,469,"",,"","",,""
"NewGin","Casino","1.883E9",,,280,"",,"","",,""
"Nexter Systems","Arms industry","9.62E8",,,3700,"",,"","",,""
"Nordea","Financial services","8.635E9",,,29000,"",,"","",,""
"New Hope Coal","Resource","6.624E8",,,250,"",,"","",,""
"Nexon","Video game industry","2.537E11",,,6441,"",,"","",,""
"Nissan Chemical Corporation","Chemical industry","1.8E9",,,2583,"",,"","",,""
"United Shipping & Trading Company","Freight transport","7.63E10",,,2500,"",,"","",,""
"Ushio, Inc.","Electronics,Lighting","1.5E9",,,5847,"",,"","",,""
"Valence Technology","Electric bus,Energy storage,Marine propulsion,Uninterruptible power supply","4.588E7",,,433,"",,"","",,""
"University of Pittsburgh Medical Center","Health care","1.6E10",,,92000,"",,"","",,""
"Uponor","Building material","1136.0",,,3658,"",,"","",,""
"Veja Sneakers","Footwear","2.1E7",,,180,"",,"","",,""
"Noritake","Japanese pottery and porcelain","1.088E11",,,5097,"",,"","",,""
"United Bank for Africa","Bank,Financial services,Investment","1.138E11",,,20000,"",,"","",,""
"Unity Bank plc","Financial services","3.87E7",,,2072,"",,"","",,""
"Urbi","Construction","8.263E8",,,2100,"",,"","",,""
"Valio","Dairy","2.0E9",,,4600,"",,"","",,""
"United Space Alliance","Aerospace engineering","2.0E9",,,2800,"",,"","",,""
"Unitika","Chemical industry,Textile","1.57E9",,,4534,"",,"","",,""
"Valeo Confectionery","Confectionery","1.5E8",,,1500,"",,"","",,""
"VEREIT","Real estate investment trust","1.161E9",,,160,"",,"","",,""
"SKY Perfect JSAT","Telecommunications","163.2",,,808,"",,"","",,""
"CGI Inc.","Consultant,Information technology,Outsourcing","1.2164E10",,,77500,"",,"","",,""
"CUNA Mutual Group","Finance,Insurance","3.54E9",,,3300,"",,"","",,""
"Bumitama Agri","Food processing","6.34E8",,,31400,"",,"","",,""
"Bumi Resources","Mining","4.653E9",,,67,"",,"","",,""
"CIBC World Markets","Investment banking","2.9E9",,,1100,"",,"","",,""
"CYTA","Telecommunications","3.9648E8",,,1834,"",,"","",,""
"Cameco","Energy,Mining","2.431E9",,,3300,"",,"","",,""
"Camellia Line","Maritime transport","4.0E8",,,26,"",,"","",,""
"Campari Group","Drink","1.816E9",,,4020,"",,"","",,""
"Canadian Tire","Retail","1.4534E10",,,58000,"",,"","",,""
"Carmel Agrexco","Export","5.6E8",,,500,"",,"","",,""
"Cash Generator","Retail","3.0E7",,,500,"",,"","",,""
"Century Properties","Property","1.432E10",,,2171,"",,"","",,""
"Caesars Entertainment (2020)","Gambling","3.5E9",,,54000,"",,"","",,""
"Canwest","Mass media","2.867E9",,,12072,"",,"","",,""
"Centrotherm Photovoltaics","Photovoltaics","1.4918E8",,,817,"",,"","",,""
"CaixaBank","Financial services","4.288E9",,,37440,"",,"","",,""
"Capriotti's","Restaurant","1.5E8",,,1000,"",,"","",,""
"Carrols Restaurant Group","Standard Industrial Classification","1.52E9",,,10000,"",,"","",,""
"Carver Federal Savings Bank","Finance","3.074E7",,,130,"",,"","",,""
