"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record1Value","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record2Value","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record1PreprocessedValue","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record2PreprocessedValue","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity similarity","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity postproccesedSimilarity","[1] CompanyNameComparatorTokenizingJaccardSimilarity record1Value","[1] CompanyNameComparatorTokenizingJaccardSimilarity record2Value","[1] CompanyNameComparatorTokenizingJaccardSimilarity record1PreprocessedValue","[1] CompanyNameComparatorTokenizingJaccardSimilarity record2PreprocessedValue","[1] CompanyNameComparatorTokenizingJaccardSimilarity similarity","[1] CompanyNameComparatorTokenizingJaccardSimilarity postproccesedSimilarity"
"WekaMatchingRule","ft_id_1613","dbpedia_907","1.0","1","7272.0","8363.0","7272.0","8363.0","0.998909","0.998909","NiSource","NiSource","NiSource","NiSource","1.0","1.0"
"WekaMatchingRule","ft_id_262","dbpedia_3895","0.012903225806451613","1","73541.0","56606.0","73541.0","56606.0","0.983065","0.983065","Salesforce.com","Salesforce","Salesforce.com","Salesforce","0.5","0.5"
"WekaMatchingRule","ft_id_399","dbpedia_2226","0.012903225806451613","0","250000.0","1365.0","250000.0","1365.0","0.7513650000000001","0.7513650000000001","JBS","Brunello Cucinelli (company)","JBS","Brunello Cucinelli (company)","0.0","0.0"
"WekaMatchingRule","ft_id_185","dbpedia_4889","0.012903225806451613","0","54492.0","20016.0","54492.0","20016.0","0.965524","0.965524","Mizuho Financial","Marcopolo S.A.","Mizuho Financial","Marcopolo S.A.","0.0","0.0"
"WekaMatchingRule","ft_id_1665","dbpedia_753","0.012903225806451613","0","-99.0","1500.0","-99.0","1500.0","0.998401","0.998401","Ceconomy","Qualys","Ceconomy","Qualys","0.0","0.0"
"WekaMatchingRule","ft_id_94","dbpedia_52","0.012903225806451613","0","31000.0","18000.0","31000.0","18000.0","0.987","0.987","Chubb","Poundland","Chubb","Poundland","0.0","0.0"
"WekaMatchingRule","ft_id_1288","dbpedia_4226","0.8181818181818182","1","15600.0","16200.0","15600.0","16200.0","0.9994","0.9994","Frontier Communications Parent","Frontier Communications","Frontier Communications Parent","Frontier Communications","0.6666666666666666","0.6666666666666666"
"WekaMatchingRule","ft_id_1757","dbpedia_1004","0.012903225806451613","0","4476.0","4374.0","4476.0","4374.0","0.999898","0.999898","Shandong Hualu-Hengsheng Chemical","Kureha Corporation","Shandong Hualu-Hengsheng Chemical","Kureha Corporation","0.0","0.0"
"WekaMatchingRule","ft_id_1196","dbpedia_3218","0.012903225806451613","0","2430.0","500.0","2430.0","500.0","0.99807","0.99807","Targa Resources","ARC Resources","Targa Resources","ARC Resources","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_658","dbpedia_1084","0.012903225806451613","0","-99.0","18419.0","-99.0","18419.0","0.981482","0.981482","Aeon","Toyo Seikan","Aeon","Toyo Seikan","0.0","0.0"
"WekaMatchingRule","ft_id_1279","dbpedia_4045","1.0","1","-99.0","12883.0","-99.0","12883.0","0.987018","0.987018","Yara International","Yara International","Yara International","Yara International","1.0","1.0"
"WekaMatchingRule","ft_id_444","dbpedia_4113","0.012903225806451613","0","47000.0","25000.0","47000.0","25000.0","0.978","0.978","L3Harris Technologies","Coop Norden","L3Harris Technologies","Coop Norden","0.0","0.0"
"WekaMatchingRule","ft_id_160","dbpedia_4640","0.012903225806451613","0","-99.0","1500.0","-99.0","1500.0","0.998401","0.998401","Møller-Maersk","Anonima Petroli Italiana","Møller-Maersk","Anonima Petroli Italiana","0.0","0.0"
"WekaMatchingRule","ft_id_447","dbpedia_6590","0.012903225806451613","0","7017.0","3100.0","7017.0","3100.0","0.996083","0.996083","TC Energy","CPS Energy","TC Energy","CPS Energy","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_563","dbpedia_2420","0.012903225806451613","0","20300.0","6300.0","20300.0","6300.0","0.986","0.986","Markel","Marel","Markel","Marel","0.0","0.0"
"WekaMatchingRule","ft_id_1583","dbpedia_1836","0.012903225806451613","0","4943.0","12269.0","4943.0","12269.0","0.992674","0.992674","Hokuhoku Financial Group","OP Financial Group","Hokuhoku Financial Group","OP Financial Group","0.5","0.5"
"WekaMatchingRule","ft_id_1621","dbpedia_942","0.012903225806451613","0","5661.0","10634.0","5661.0","10634.0","0.995027","0.995027","Snap","Brembo","Snap","Brembo","0.0","0.0"
"WekaMatchingRule","ft_id_1380","dbpedia_1623","0.012903225806451613","0","-99.0","4500.0","-99.0","4500.0","0.995401","0.995401","VakifBank","Cogeco","VakifBank","Cogeco","0.0","0.0"
"WekaMatchingRule","ft_id_701","dbpedia_5515","1.0","1","8516.0","12528.0","8516.0","12528.0","0.995988","0.995988","Bank Leumi","Bank Leumi","Bank Leumi","Bank Leumi","1.0","1.0"
"WekaMatchingRule","ft_id_1051","dbpedia_1174","0.012903225806451613","0","37537.0","3576.0","37537.0","3576.0","0.966039","0.966039","Teva Pharmaceutical","Ono Pharmaceutical","Teva Pharmaceutical","Ono Pharmaceutical","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1988","dbpedia_3816","0.012903225806451613","0","3027.0","2337.0","3027.0","2337.0","0.99931","0.99931","EFG International","ASM International","EFG International","ASM International","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1016","dbpedia_2326","0.012903225806451613","0","47056.0","1323.0","47056.0","1323.0","0.954267","0.954267","Shanghai Pharmaceuticals","Alnylam Pharmaceuticals","Shanghai Pharmaceuticals","Alnylam Pharmaceuticals","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1163","dbpedia_2364","0.012903225806451613","0","59.0","11300.0","59.0","11300.0","0.988759","0.988759","CJ Corporation","KLA Corporation","CJ Corporation","KLA Corporation","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1762","dbpedia_4092","0.012903225806451613","0","2839.0","3300.0","2839.0","3300.0","0.999539","0.999539","Juroku  Financial Group","CNO Financial Group","Juroku  Financial Group","CNO Financial Group","0.5","0.5"
"WekaMatchingRule","ft_id_18","dbpedia_354","0.012903225806451613","0","118400.0","21000.0","118400.0","21000.0","0.9026","0.9026","Verizon Communications","Krispy Kreme","Verizon Communications","Krispy Kreme","0.0","0.0"
"WekaMatchingRule","ft_id_5","dbpedia_1886","0.012903225806451613",,"1608000.0","7448.0","1608000.0","7448.0","0.0","0.0","Amazon","W. R. Berkley Corporation","Amazon","W. R. Berkley Corporation","0.0","0.0"
"WekaMatchingRule","ft_id_1518","dbpedia_6179","0.012903225806451613","0","8103.0","5700.0","8103.0","5700.0","0.997597","0.997597","Fukuoka Financial Group","IA Financial Group","Fukuoka Financial Group","IA Financial Group","0.5","0.5"
"WekaMatchingRule","ft_id_1231","dbpedia_5335","0.012903225806451613","0","71692.0","16207.0","71692.0","16207.0","0.944515","0.944515","Alstom","Unicharm","Alstom","Unicharm","0.0","0.0"
"WekaMatchingRule","ft_id_804","dbpedia_5426","0.012903225806451613","0","1353.0","17500.0","1353.0","17500.0","0.983853","0.983853","SK Innovation","Ryanair","SK Innovation","Ryanair","0.0","0.0"
"WekaMatchingRule","ft_id_7","dbpedia_1888","0.012903225806451613",,"455174.0","550.0","455174.0","550.0","0.5453760000000001","0.5453760000000001","Agricultural Bank of China","Assuranceforeningen Gard","Agricultural Bank of China","Assuranceforeningen Gard","0.0","0.0"
"WekaMatchingRule","ft_id_1924","dbpedia_1213","1.0","1","2920.0","2733.0","2920.0","2733.0","0.999813","0.999813","Palantir Technologies","Palantir Technologies","Palantir Technologies","Palantir Technologies","1.0","1.0"
"WekaMatchingRule","ft_id_94","dbpedia_71","0.012903225806451613","0","31000.0","300000.0","31000.0","300000.0","0.731","0.731","Chubb","SCM Holdings","Chubb","SCM Holdings","0.0","0.0"
"WekaMatchingRule","ft_id_1194","dbpedia_811","1.0","1","45598.0","69398.0","45598.0","69398.0","0.9762","0.9762","Suning.com","Suning.com","Suning.com","Suning.com","1.0","1.0"
