"ft_id_1219","7.1m_6910","1.0"
"ft_id_18","7.1m_1912","1.0"
"ft_id_1371","7.1m_6168","1.0"
"ft_id_31","7.1m_184","1.0"
"ft_id_649","7.1m_7094","1.0"
"ft_id_46","7.1m_154","1.0"
"ft_id_28","7.1m_176","1.0"
"ft_id_504","7.1m_1922","1.0"
"ft_id_73","7.1m_175","1.0"
"ft_id_1372","7.1m_808","1.0"
"ft_id_1928","7.1m_4730","1.0"
"ft_id_271","7.1m_6132","1.0"
"ft_id_790","7.1m_6677","1.0"
"ft_id_63","7.1m_272","1.0"
"ft_id_96","7.1m_195","1.0"
"ft_id_595","7.1m_254","1.0"
"ft_id_34","7.1m_253","1.0"
"ft_id_460","7.1m_144","1.0"
"ft_id_679","7.1m_380","1.0"
"ft_id_629","7.1m_340","1.0"
"ft_id_544","7.1m_240","1.0"
"ft_id_524","7.1m_214","1.0"
"ft_id_1355","7.1m_6247","1.0"
"ft_id_32","7.1m_1972","1.0"
"ft_id_556","7.1m_200","1.0"
"ft_id_52","7.1m_1972","1.0"
"ft_id_613","7.1m_164","1.0"
"ft_id_368","7.1m_1724","1.0"
"ft_id_141","7.1m_645","1.0"
"ft_id_261","7.1m_769","1.0"
"ft_id_639","7.1m_168","1.0"
"ft_id_1020","7.1m_6607","1.0"
"ft_id_276","7.1m_626","1.0"
"ft_id_378","7.1m_1822","1.0"
"ft_id_1898","7.1m_4833","1.0"
"ft_id_643","7.1m_198","1.0"
"ft_id_900","7.1m_6677","1.0"
"ft_id_864","7.1m_5340","1.0"
"ft_id_1471","7.1m_856","1.0"
"ft_id_1391","7.1m_924","1.0"
"ft_id_83","7.1m_365","1.0"
"ft_id_84","7.1m_367","1.0"
"ft_id_788","7.1m_5371","1.0"
"ft_id_1529","7.1m_831","1.0"
"ft_id_956","7.1m_6620","1.0"
"ft_id_878","7.1m_6701","1.0"
"ft_id_190","7.1m_732","1.0"
"ft_id_711","7.1m_194","1.0"
"ft_id_109","7.1m_764","1.0"
"ft_id_66","7.1m_319","1.0"
"ft_id_1885","7.1m_3306","1.0"
"ft_id_464","7.1m_1758","1.0"
"ft_id_266","7.1m_659","1.0"
"ft_id_565","7.1m_332","1.0"
"ft_id_599","7.1m_300","1.0"
"ft_id_686","7.1m_218","1.0"
"ft_id_531","7.1m_372","1.0"
"ft_id_283","7.1m_620","1.0"
