"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] NumberOfEmployeesComparatorPercentageSimilarity record1Value","[0] NumberOfEmployeesComparatorPercentageSimilarity record2Value","[0] NumberOfEmployeesComparatorPercentageSimilarity record1PreprocessedValue","[0] NumberOfEmployeesComparatorPercentageSimilarity record2PreprocessedValue","[0] NumberOfEmployeesComparatorPercentageSimilarity similarity","[0] NumberOfEmployeesComparatorPercentageSimilarity postproccesedSimilarity","[1] CompanyNameComparatorLevenshteinSimilarity record1Value","[1] CompanyNameComparatorLevenshteinSimilarity record2Value","[1] CompanyNameComparatorLevenshteinSimilarity record1PreprocessedValue","[1] CompanyNameComparatorLevenshteinSimilarity record2PreprocessedValue","[1] CompanyNameComparatorLevenshteinSimilarity similarity","[1] CompanyNameComparatorLevenshteinSimilarity postproccesedSimilarity"
"WekaMatchingRule","ft_id_1463","7.1m_1077","0.0",,"5900.0","14347.0","5900.0","14347.0","0.8822471596849516","0.8822471596849516","Teradyne","telkom","Teradyne","telkom","0.25","0.25"
"WekaMatchingRule","ft_id_360","7.1m_796",,"0","100000.0","20022.0","100000.0","20022.0","0.840044","0.840044","Wilmar International","colliers international","Wilmar International","colliers international","0.7272727272727273","0.7272727272727273"
"WekaMatchingRule","ft_id_653","7.1m_1374",,"0","10300.0","9925.0","10300.0","9925.0","0.9927184466019418","0.9927184466019418","DTE Energy","xcel energy","DTE Energy","xcel energy","0.7272727272727273","0.7272727272727273"
"WekaMatchingRule","ft_id_866","7.1m_1362","1.0","1","8696.0","13344.0","8696.0","13344.0","0.9303357314148681","0.9303357314148681","Bank of Ireland","bank of ireland","Bank of Ireland","bank of ireland","1.0","1.0"
"WekaMatchingRule","ft_id_1664","7.1m_1410",,"0","12600.0","8654.0","12600.0","8654.0","0.9373650793650794","0.9373650793650794","Autodesk","odesk","Autodesk","odesk","0.625","0.625"
"WekaMatchingRule","ft_id_398","7.1m_891",,"0","101000.0","12621.0","101000.0","12621.0","0.8249920792079208","0.8249920792079208","Johnson Controls International","etihad airways","Johnson Controls International","etihad airways","0.1333333333333333","0.1333333333333333"
"WekaMatchingRule","ft_id_716","7.1m_1153",,"0","215000.0","15367.0","215000.0","15367.0","0.8142948837209303","0.8142948837209303","George Weston","lufthansa","George Weston","lufthansa","0.07692307692307687","0.07692307692307687"
"WekaMatchingRule","ft_id_561","7.1m_924",,"0","6567.0","18547.0","6567.0","18547.0","0.8708146870113764","0.8708146870113764","SVB Financial Group","massmutual financial group","SVB Financial Group","massmutual financial group","0.6538461538461539","0.6538461538461539"
"WekaMatchingRule","ft_id_219","7.1m_8452","0.0",,"30800.0","2201.0","30800.0","2201.0","0.8142922077922078","0.8142922077922078","Travelers","trt","Travelers","trt","0.2222222222222222","0.2222222222222222"
"WekaMatchingRule","ft_id_306","7.1m_272",,"0","37194.0","41033.0","37194.0","41033.0","0.9812882314234884","0.9812882314234884","KBC Group","bmw group","KBC Group","bmw group","0.6666666666666667","0.6666666666666667"
"WekaMatchingRule","ft_id_756","7.1m_1409",,"0","71700.0","6696.0","71700.0","6696.0","0.8186778242677824","0.8186778242677824","Omnicom Group","china life insurance co.ltd","Omnicom Group","china life insurance co.ltd","0.14814814814814814","0.14814814814814814"
"WekaMatchingRule","ft_id_587","7.1m_796",,"0","60000.0","20022.0","60000.0","20022.0","0.8667400000000001","0.8667400000000001","Baxter International","colliers international","Baxter International","colliers international","0.7272727272727273","0.7272727272727273"
"WekaMatchingRule","ft_id_360","7.1m_938",,"0","100000.0","9180.0","100000.0","9180.0","0.81836","0.81836","Wilmar International","nerium international","Wilmar International","nerium international","0.7","0.7"
"WekaMatchingRule","ft_id_1371","7.1m_264",,"0","38000.0","38951.0","38000.0","38951.0","0.9951169417986702","0.9951169417986702","Sonic Healthcare","siemens healthcare","Sonic Healthcare","siemens healthcare","0.6666666666666667","0.6666666666666667"
"WekaMatchingRule","ft_id_977","7.1m_846",,"0","51746.0","20112.0","51746.0","20112.0","0.8777335446218065","0.8777335446218065","China International Marine","caci international inc","China International Marine","caci international inc","0.6923076923076923","0.6923076923076923"
"WekaMatchingRule","ft_id_750","7.1m_1154",,"0","-99.0","6742.0","-99.0","6742.0","0.7970631859982201","0.7970631859982201","Public Bank","publica","Public Bank","publica","0.6363636363636364","0.6363636363636364"
"WekaMatchingRule","ft_id_1976","7.1m_1958",,"0","8300.0","7875.0","8300.0","7875.0","0.9897590361445783","0.9897590361445783","Ampol","wayfair","Ampol","wayfair","0.1428571428571429","0.1428571428571429"
"WekaMatchingRule","ft_id_750","7.1m_1138",,"0","-99.0","19193.0","-99.0","19193.0","0.7989683738863127","0.7989683738863127","Public Bank","icici prudential life insurance company limited","Public Bank","icici prudential life insurance company limited","0.17021276595744683","0.17021276595744683"
"WekaMatchingRule","ft_id_1847","7.1m_851","1.0","1","15936.0","17138.0","15936.0","17138.0","0.9859726922628078","0.9859726922628078","Amadeus IT Group","amadeus it group","Amadeus IT Group","amadeus it group","1.0","1.0"
"WekaMatchingRule","ft_id_1819","7.1m_1634",,"0","1890.0","10371.0","1890.0","10371.0","0.8364477870986404","0.8364477870986404","Horizon Therapeutics Public Limited Company","sandia national laboratories","Horizon Therapeutics Public Limited Company","sandia national laboratories","0.18604651162790697","0.18604651162790697"
"WekaMatchingRule","ft_id_626","7.1m_2457","0.0",,"100033.0","13058.0","100033.0","13058.0","0.8261073845630942","0.8261073845630942","Meituan","mec","Meituan","mec","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","ft_id_1522","7.1m_9566","0.0",,"26500.0","2185.0","26500.0","2185.0","0.8164905660377358","0.8164905660377358","Mondi","mosaic","Mondi","mosaic","0.5","0.5"
"WekaMatchingRule","ft_id_1357","7.1m_897",,"0","7438.0","13931.0","7438.0","13931.0","0.906783432632259","0.906783432632259","Tokyo Century","florida hospital","Tokyo Century","florida hospital","0.125","0.125"
"WekaMatchingRule","ft_id_1603","7.1m_1360","1.0","1","15200.0","7633.0","15200.0","7633.0","0.9004342105263158","0.9004342105263158","Workday","workday","Workday","workday","1.0","1.0"
"WekaMatchingRule","ft_id_263","7.1m_446","1.0","1","66436.0","29479.0","66436.0","29479.0","0.8887440544283219","0.8887440544283219","Air Liquide","air liquide","Air Liquide","air liquide","1.0","1.0"
"WekaMatchingRule","ft_id_577","7.1m_764",,"0","20021.0","14556.0","20021.0","14556.0","0.9454073223115729","0.9454073223115729","Raymond James Financial","enel","Raymond James Financial","enel","0.13043478260869568","0.13043478260869568"
"WekaMatchingRule","ft_id_483","7.1m_836",,"0","119383.0","20004.0","119383.0","20004.0","0.8335123091227394","0.8335123091227394","NTPC","the tjx companies, inc.","NTPC","the tjx companies, inc.","0.13043478260869568","0.13043478260869568"
"WekaMatchingRule","ft_id_1195","7.1m_602",,"0","7346.0","21971.0","7346.0","21971.0","0.8668699649538028","0.8668699649538028","National Bank of Greece","northern trust corporation","National Bank of Greece","northern trust corporation","0.1923076923076923","0.1923076923076923"
"WekaMatchingRule","ft_id_708","7.1m_17155","0.0",,"12525.0","1233.0","12525.0","1233.0","0.8196886227544911","0.8196886227544911","Mosaic","morrison","Mosaic","morrison","0.375","0.375"
"WekaMatchingRule","ft_id_92","7.1m_539","1.0","1","169339.0","26419.0","169339.0","26419.0","0.8312024991289662","0.8312024991289662","Anheuser-Busch InBev","anheuser-busch inbev","Anheuser-Busch InBev","anheuser-busch inbev","1.0","1.0"
"WekaMatchingRule","ft_id_1924","7.1m_1728",,"0","2920.0","8772.0","2920.0","8772.0","0.8665754673962609","0.8665754673962609","Palantir Technologies","akamai technologies","Palantir Technologies","akamai technologies","0.7619047619047619","0.7619047619047619"
"WekaMatchingRule","ft_id_358","7.1m_688","1.0","1","163000.0","23502.0","163000.0","23502.0","0.8288368098159509","0.8288368098159509","Dollar General","dollar general","Dollar General","dollar general","1.0","1.0"
"WekaMatchingRule","ft_id_1668","7.1m_1037",,"0","3242.0","12133.0","3242.0","12133.0","0.8534410285996867","0.8534410285996867","Jyske Bank","yes bank","Jyske Bank","yes bank","0.6","0.6"
"WekaMatchingRule","ft_id_974","7.1m_635","0.0",,"88857.0","28205.0","88857.0","28205.0","0.8634840248939307","0.8634840248939307","Macy's","marsh","Macy's","marsh","0.33333333333333337","0.33333333333333337"
