"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Country","1.0","Country-{ft_id_1068}","ft_id_1068","{United States}","United States",,
"Revenue","1.0","Revenue-{ft_id_1181}","ft_id_1181","{21020000000}","21020000000",,
"Revenue","0.6","Revenue-{dbpedia_1035+dbpedia_6679+ft_id_1295+ft_id_1520+ft_id_209}","dbpedia_1035+dbpedia_6679+ft_id_1295+ft_id_1520+ft_id_209","{25|5200000000|5547000000|5601000000|25987000000}","5200000000",,
"City","0.0","City-{7.1m_6523+7.1m_6838+ft_id_1219}","7.1m_6523+7.1m_6838+ft_id_1219","{boston|helsinki|Miami}","Miami",,
"NumberOfEmployees","0.5","NumberOfEmployees-{dbpedia_3015+ft_id_181}","dbpedia_3015+ft_id_181","{108794|87274}","108794",,
"Revenue","0.5","Revenue-{dbpedia_38+dbpedia_3861+ft_id_32+ft_id_321}","dbpedia_38+dbpedia_3861+ft_id_32+ft_id_321","{109480000000|717289000000|129764000000|21111000000}","717289000000",,
"Country","0.3333333333333333","Country-{7.1m_1416+7.1m_3291+7.1m_3633+7.1m_3954+7.1m_5190+7.1m_624+7.1m_6290+7.1m_964+ft_id_147+ft_id_176+ft_id_586+ft_id_926}","7.1m_1416+7.1m_3291+7.1m_3633+7.1m_3954+7.1m_5190+7.1m_624+7.1m_6290+7.1m_964+ft_id_147+ft_id_176+ft_id_586+ft_id_926","{united states|china|norway|canada|united states|united states|netherlands|united states|United States|France|France|United States}","china",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_2273}","7.1m_2273","{4604}","4604",,
"Name","0.2","Name-{7.1m_1332+7.1m_2925+dbpedia_5259+ft_id_1497+ft_id_606}","7.1m_1332+7.1m_2925+dbpedia_5259+ft_id_1497+ft_id_606","{hilti|hill-rom|Hikvision|Hilton|Hikvision}","hilti",,
"Name","0.09090909090909091","Name-{7.1m_4148+7.1m_6547+7.1m_6827+7.1m_7014+dbpedia_2360+dbpedia_2994+dbpedia_4229+dbpedia_436+dbpedia_5480+ft_id_1038+ft_id_1169}","7.1m_4148+7.1m_6547+7.1m_6827+7.1m_7014+dbpedia_2360+dbpedia_2994+dbpedia_4229+dbpedia_436+dbpedia_5480+ft_id_1038+ft_id_1169","{kaplan|kaust|kantar|kajk.pl|Kajima|Kajima|Kajima|Kakao|Kajima|Kakao|Kajima}","kaust",,
