"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Name","0.0","Name-{7.1m_6277+ft_id_1665}","7.1m_6277+ft_id_1665","{celcom|Ceconomy}","celcom",,
"Name","0.2","Name-{7.1m_1815+7.1m_3245+7.1m_3811+7.1m_425+7.1m_60+dbpedia_224+dbpedia_2818+ft_id_1950+ft_id_301+ft_id_78}","7.1m_1815+7.1m_3245+7.1m_3811+7.1m_425+7.1m_60+dbpedia_224+dbpedia_2818+ft_id_1950+ft_id_301+ft_id_78","{starcom|stericycle|stork|staples|starbucks|Steris|Starbucks|Steris|Starbucks|Stellantis}","stork",,
"Country","0.0","Country-{7.1m_5042+ft_id_1165}","7.1m_5042+ft_id_1165","{japan|Singapore}","japan",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_2322+7.1m_4900+dbpedia_4045}","7.1m_2322+7.1m_4900+dbpedia_4045","{6823|3511|12883}","12883",,
"Name","0.18181818181818182","Name-{7.1m_1218+7.1m_332+7.1m_3944+7.1m_4278+7.1m_4531+7.1m_6123+dbpedia_352+dbpedia_6635+ft_id_1875+ft_id_282+ft_id_565}","7.1m_1218+7.1m_332+7.1m_3944+7.1m_4278+7.1m_4531+7.1m_6123+dbpedia_352+dbpedia_6635+ft_id_1875+ft_id_282+ft_id_565","{kiewit|kimberly-clark|kindercare|kimley-horn|king|kiabi|Kimberly-Clark|Kia|Kinnevik|KIA|Kimberly-Clark}","Kia",,
"Industries","1.0","Industries-{7.1m_4476+ft_id_485}","7.1m_4476+ft_id_485","{[, financial services, ]|[, Diversified Financials, ]}","[]",,
"Revenue","0.5714285714285714","Revenue-{dbpedia_1115+dbpedia_2257+dbpedia_2892+dbpedia_2905+dbpedia_4107+dbpedia_4720+dbpedia_4721+dbpedia_4725+dbpedia_5379+dbpedia_5380+dbpedia_6615+dbpedia_966+ft_id_1033+ft_id_113+ft_id_1166+ft_id_127+ft_id_1272+ft_id_1394+ft_id_1465+ft_id_31+ft_id_456+ft_id_510+ft_id_566+ft_id_568+ft_id_583+ft_id_735+ft_id_876+ft_id_918}","dbpedia_1115+dbpedia_2257+dbpedia_2892+dbpedia_2905+dbpedia_4107+dbpedia_4720+dbpedia_4721+dbpedia_4725+dbpedia_5379+dbpedia_5380+dbpedia_6615+dbpedia_966+ft_id_1033+ft_id_113+ft_id_1166+ft_id_127+ft_id_1272+ft_id_1394+ft_id_1465+ft_id_31+ft_id_456+ft_id_510+ft_id_566+ft_id_568+ft_id_583+ft_id_735+ft_id_876+ft_id_918","{1000000000|12|15693000000|14217000000|18650000000|18544000000|19256000000|8570000000|3595000000|3817000000|1140000000|103560000000|2952000000|38726000000|18406000000|46056000000|3160000000|3156000000|1253000000|116385000000|15655000000|39910000000|18507000000|14068000000|17421000000|7839000000|14836000000|18797000000}","8570000000",,
"Revenue","0.6666666666666666","Revenue-{dbpedia_4806+ft_id_1107+ft_id_758}","dbpedia_4806+ft_id_1107+ft_id_758","{9300000000|7317000000|17640000000}","9300000000",,
"CeoNames","1.0","CeoNames-{dbpedia_5150+ft_id_800}","dbpedia_5150+ft_id_800","{[, , ]|[, Young-Moo Choi, ]}","[, Young-Moo Choi, ]",,
"Country","0.3333333333333333","Country-{7.1m_294+7.1m_652+7.1m_6792+7.1m_804+ft_id_1026+ft_id_1406}","7.1m_294+7.1m_652+7.1m_6792+7.1m_804+ft_id_1026+ft_id_1406","{united kingdom|malaysia|united states|united states|Taiwan|United States}","Taiwan",,
"Country","0.0","Country-{7.1m_4611+ft_id_1235}","7.1m_4611+ft_id_1235","{australia|Australia}","australia",,
"FoundingYear","0.0","FoundingYear-{7.1m_2071+7.1m_2085+7.1m_551+ft_id_615+ft_id_707}","7.1m_2071+7.1m_2085+7.1m_551+ft_id_615+ft_id_707","{1871|1955|1867|1919|1952}","1919",,
"CeoNames","0.5","CeoNames-{dbpedia_6770+ft_id_497}","dbpedia_6770+ft_id_497","{[, , ]|[, Tadashi Yanai, ]}","[, Tadashi Yanai, ]",,
"Industries","1.0","Industries-{7.1m_2062+7.1m_2352+7.1m_2495+7.1m_353+7.1m_6501+7.1m_96+ft_id_186}","7.1m_2062+7.1m_2352+7.1m_2495+7.1m_353+7.1m_6501+7.1m_96+ft_id_186","{[, translation and localization, ]|[, legal services, ]|[, retail, ]|[, insurance, ]|[, logistics and supply chain, ]|[, internet, ]|[, Chemicals, ]}","[]",,
"FoundingYear","0.0","FoundingYear-{7.1m_3511+ft_id_930}","7.1m_3511+ft_id_930","{1999|1995}","1995",,
"Industries","0.8181818181818182","Industries-{7.1m_1711+7.1m_2826+7.1m_439+7.1m_4915+7.1m_88+dbpedia_3107+dbpedia_6220+ft_id_1328+ft_id_385+ft_id_43+ft_id_55}","7.1m_1711+7.1m_2826+7.1m_439+7.1m_4915+7.1m_88+dbpedia_3107+dbpedia_6220+ft_id_1328+ft_id_385+ft_id_43+ft_id_55","{[, retail, ]|[, computer software, ]|[, entertainment, ]|[, retail, ]|[, facilities services, ]|[, Conglomerate (company), ]|[, Conglomerate (company), ]|[, Diversified Financials, ]|[, Insurance, ]|[, Telecommunications Services, ]|[, Consumer Durables, ]}","[]",,
"Industries","0.5","Industries-{7.1m_2949+dbpedia_1046+dbpedia_4812+ft_id_4}","7.1m_2949+dbpedia_1046+dbpedia_4812+ft_id_4","{[, banking, ]|[, Bank
				Financial services
				Investment, ]|[, Bank
				Financial services
				Investment, ]|[, Banking, ]}","[]",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_4163+ft_id_792}","7.1m_4163+ft_id_792","{5282|34743}","34743",,
"CeoNames","0.5","CeoNames-{dbpedia_6773+ft_id_1378}","dbpedia_6773+ft_id_1378","{[, , ]|[, Joseph D. Margolis, ]}","[, Joseph D. Margolis, ]",,
"Revenue","1.0","Revenue-{ft_id_20}","ft_id_20","{380310000000}","380310000000",,
"Country","0.0","Country-{7.1m_1225+ft_id_1283+ft_id_285}","7.1m_1225+ft_id_1283+ft_id_285","{netherlands|United States|South Korea}","South Korea",,
"Industries","1.0","Industries-{7.1m_3422+ft_id_839}","7.1m_3422+ft_id_839","{[, telecommunications, ]|[, Diversified Financials, ]}","[]",,
"City","0.0","City-{7.1m_1649+7.1m_562+ft_id_1348+ft_id_222+ft_id_277}","7.1m_1649+7.1m_562+ft_id_1348+ft_id_222+ft_id_277","{santa clara|san francisco|Baltimore|Chicago|Irving}","Irving",,
"CeoNames","0.5","CeoNames-{dbpedia_3834+ft_id_810}","dbpedia_3834+ft_id_810","{[, , ]|[, Albert Yuan Chao, ]}","[, Albert Yuan Chao, ]",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_1909+ft_id_1009}","7.1m_1909+ft_id_1009","{8592|15700}","15700",,
"CeoNames","1.0","CeoNames-{dbpedia_1535+ft_id_446}","dbpedia_1535+ft_id_446","{[, , ]|[, Simpiwe Kenneth Tshabalala, ]}","[, Simpiwe Kenneth Tshabalala, ]",,
"Revenue","0.6","Revenue-{dbpedia_15+dbpedia_2590+dbpedia_3838+dbpedia_3839+ft_id_1168+ft_id_1434+ft_id_1544+ft_id_557+ft_id_717+ft_id_799}","dbpedia_15+dbpedia_2590+dbpedia_3838+dbpedia_3839+ft_id_1168+ft_id_1434+ft_id_1544+ft_id_557+ft_id_717+ft_id_799","{30800000000|14860000000|5120000000|7530000000|4734000000|8869000000|4367000000|25351000000|10201000000|19297000000}","5120000000",,
"Industries","0.92","Industries-{7.1m_1109+7.1m_1941+7.1m_2229+7.1m_2566+7.1m_3202+7.1m_3274+7.1m_3418+7.1m_3596+7.1m_3644+7.1m_433+7.1m_4465+7.1m_4637+7.1m_4665+7.1m_4693+7.1m_4767+7.1m_5474+7.1m_6386+dbpedia_1319+dbpedia_6329+dbpedia_649+ft_id_1522+ft_id_1911+ft_id_372+ft_id_708+ft_id_849}","7.1m_1109+7.1m_1941+7.1m_2229+7.1m_2566+7.1m_3202+7.1m_3274+7.1m_3418+7.1m_3596+7.1m_3644+7.1m_433+7.1m_4465+7.1m_4637+7.1m_4665+7.1m_4693+7.1m_4767+7.1m_5474+7.1m_6386+dbpedia_1319+dbpedia_6329+dbpedia_649+ft_id_1522+ft_id_1911+ft_id_372+ft_id_708+ft_id_849","{[, entertainment, ]|[, telecommunications, ]|[, electrical/electronic manufacturing, ]|[, telecommunications, ]|[, telecommunications, ]|[, information technology and services, ]|[, financial services, ]|[, financial services, ]|[, internet, ]|[, consumer electronics, ]|[, furniture, ]|[, retail, ]|[, construction, ]|[, chemicals, ]|[, telecommunications, ]|[, publishing, ]|[, construction, ]|[, Packaging and labeling, ]|[, Financial services, ]|[, Biotechnology, ]|[, Materials, ]|[, Business Services & Supplies, ]|[, Drugs & Biotechnology, ]|[, Chemicals, ]|[, Business Services & Supplies, ]}","[]",,
"Country","0.0","Country-{7.1m_1284+ft_id_842}","7.1m_1284+ft_id_842","{united states|United States}","united states","false","United States"
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_1731+7.1m_4852+ft_id_779}","7.1m_1731+7.1m_4852+ft_id_779","{9706|3728|15455}","15455",,
"CeoNames","1.0","CeoNames-{ft_id_17}","ft_id_17","{[, Charles William Scharf, ]}","[, Charles William Scharf, ]",,
"City","0.0","City-{7.1m_5714+ft_id_706}","7.1m_5714+ft_id_706","{france|Paris}","Paris",,
"Revenue","0.6","Revenue-{dbpedia_2123+dbpedia_825+ft_id_1318+ft_id_1499+ft_id_525}","dbpedia_2123+dbpedia_825+ft_id_1318+ft_id_1499+ft_id_525","{35550000000|10200000000|7995000000|14837000000|44429000000}","35550000000",,
"Name","1.0","Name-{7.1m_821+dbpedia_299+ft_id_1052}","7.1m_821+dbpedia_299+ft_id_1052","{c.h. robinson|C. H. Robinson|C.H. Robinson}","c.h. robinson",,
"Revenue","0.5","Revenue-{dbpedia_3209+ft_id_1063}","dbpedia_3209+ft_id_1063","{113700000000|12979000000}","113700000000",,
"Name","0.2857142857142857","Name-{7.1m_266+7.1m_3445+7.1m_398+7.1m_648+ft_id_1422+ft_id_1501+ft_id_375}","7.1m_266+7.1m_3445+7.1m_398+7.1m_648+ft_id_1422+ft_id_1501+ft_id_375","{adidas|adco|adobe|advocare|Adecco|Adient|Adobe}","adco",,
"NumberOfEmployees","0.75","NumberOfEmployees-{7.1m_699+dbpedia_1642+dbpedia_6035+ft_id_370}","7.1m_699+dbpedia_1642+dbpedia_6035+ft_id_370","{22372|22376|1000|21754}","1000",,
"Country","0.0","Country-{7.1m_113+ft_id_41}","7.1m_113+ft_id_41","{united states|United States}","United States",,
"Industries","0.5","Industries-{dbpedia_3854+ft_id_914}","dbpedia_3854+ft_id_914","{[, Food processing
				Retail, ]|[, Food, Drink & Tobacco, ]}","[]",,
"Revenue","1.0","Revenue-{dbpedia_982+ft_id_212}","dbpedia_982+ft_id_212","{5280000000000|66727000000}","5280000000000",,
"Industries","0.9","Industries-{7.1m_2640+7.1m_3665+7.1m_397+7.1m_4459+7.1m_4652+7.1m_4653+7.1m_5929+7.1m_6226+dbpedia_910+ft_id_1372}","7.1m_2640+7.1m_3665+7.1m_397+7.1m_4459+7.1m_4652+7.1m_4653+7.1m_5929+7.1m_6226+dbpedia_910+ft_id_1372","{[, hospital & health care, ]|[, oil & energy, ]|[, financial services, ]|[, internet, ]|[, oil & energy, ]|[, information technology and services, ]|[, business supplies and equipment, ]|[, accounting, ]|[, Cloud computing
				Data storage, ]|[, Technology Hardware & Equipment, ]}","[]",,
"CeoNames","0.5","CeoNames-{dbpedia_1256+ft_id_518}","dbpedia_1256+ft_id_518","{[, , ]|[, Charles J. G. Brindamour, ]}","[, Charles J. G. Brindamour, ]",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_2510+ft_id_933}","7.1m_2510+ft_id_933","{15177|36070}","36070",,
"Name","0.5","Name-{dbpedia_454+ft_id_702}","dbpedia_454+ft_id_702","{Trane Technologies|Trane Technologies}","Trane Technologies",,
"Industries","0.875","Industries-{7.1m_1646+7.1m_1939+7.1m_2953+7.1m_5675+dbpedia_2600+ft_id_1047+ft_id_1487+ft_id_69}","7.1m_1646+7.1m_1939+7.1m_2953+7.1m_5675+dbpedia_2600+ft_id_1047+ft_id_1487+ft_id_69","{[, health, wellness and fitness, ]|[, financial services, ]|[, internet, ]|[, oil & energy, ]|[, Credit risk, ]|[, Diversified Financials, ]|[, Business Services & Supplies, ]|[, Oil & Gas Operations, ]}","[]",,
"Country","0.3333333333333333","Country-{7.1m_1351+7.1m_1517+7.1m_1806+7.1m_2059+7.1m_376+7.1m_4334+7.1m_4855+ft_id_103+ft_id_139}","7.1m_1351+7.1m_1517+7.1m_1806+7.1m_2059+7.1m_376+7.1m_4334+7.1m_4855+ft_id_103+ft_id_139","{india|united kingdom|united states|united kingdom|france|canada|united kingdom|Japan|Japan}","Japan",,
"FoundingYear","0.0","FoundingYear-{7.1m_145+7.1m_5718+ft_id_1613+ft_id_1806+ft_id_211+ft_id_480+ft_id_625}","7.1m_145+7.1m_5718+ft_id_1613+ft_id_1806+ft_id_211+ft_id_480+ft_id_625","{1972|1912|1987|2014|1964|1889|1973}","1987",,
"City","0.0","City-{7.1m_5849+ft_id_958}","7.1m_5849+ft_id_958","{falls church|Dublin}","Dublin",,
"Industries","0.8333333333333334","Industries-{7.1m_4145+7.1m_4251+7.1m_5278+7.1m_872+dbpedia_2144+ft_id_733}","7.1m_4145+7.1m_4251+7.1m_5278+7.1m_872+dbpedia_2144+ft_id_733","{[, banking, ]|[, banking, ]|[, banking, ]|[, banking, ]|[, Financial services, ]|[, Banking, ]}","[]",,
"Country","0.0","Country-{7.1m_1196+ft_id_1761}","7.1m_1196+ft_id_1761","{sweden|Sweden}","sweden",,
"CeoNames","1.0","CeoNames-{ft_id_16}","ft_id_16","{[, Xin Ying Chen
				Ming Zhe Ma, ]}","[, Xin Ying Chen
				Ming Zhe Ma, ]",,
"City","0.0","City-{7.1m_336+7.1m_617+ft_id_802}","7.1m_336+7.1m_617+ft_id_802","{mountain view|pittsburgh|Helsinki}","Helsinki",,
"CeoNames","1.0","CeoNames-{dbpedia_4466+ft_id_973}","dbpedia_4466+ft_id_973","{[, , ]|[, Gavin D. K. Hattersley, ]}","[, Gavin D. K. Hattersley, ]",,
"Country","0.5","Country-{7.1m_289+7.1m_2986+7.1m_505+ft_id_470}","7.1m_289+7.1m_2986+7.1m_505+ft_id_470","{united states|turkey|united states|South Africa}","turkey",,
"CeoNames","1.0","CeoNames-{ft_id_906}","ft_id_906","{[, Joseph Patrick Brandon, ]}","[, Joseph Patrick Brandon, ]",,
"NumberOfEmployees","0.75","NumberOfEmployees-{7.1m_393+7.1m_4137+dbpedia_3062+ft_id_266}","7.1m_393+7.1m_4137+dbpedia_3062+ft_id_266","{49022|5067|24000|24000}","24000",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_249+dbpedia_1535+ft_id_446}","7.1m_249+dbpedia_1535+ft_id_446","{37478|54767|49224}","54767",,
"City","0.0","City-{7.1m_300+ft_id_599}","7.1m_300+ft_id_599","{marlborough|Marlborough}","Marlborough",,
"FoundingYear","1.0","FoundingYear-{7.1m_5616+ft_id_1451}","7.1m_5616+ft_id_1451","{1986|1986}","1986",,
"NumberOfEmployees","0.8888888888888888","NumberOfEmployees-{7.1m_1741+7.1m_2204+7.1m_4678+7.1m_558+7.1m_6056+dbpedia_4587+ft_id_1001+ft_id_172+ft_id_308}","7.1m_1741+7.1m_2204+7.1m_4678+7.1m_558+7.1m_6056+dbpedia_4587+ft_id_1001+ft_id_172+ft_id_308","{24049|16688|5162|24932|4772|16500|8521|18400|3795}","16500",,
"FoundingYear","0.058823529411764705","FoundingYear-{7.1m_1077+7.1m_1438+7.1m_254+7.1m_2687+7.1m_3346+7.1m_3391+7.1m_3569+7.1m_3688+7.1m_4129+7.1m_415+7.1m_4175+7.1m_4223+7.1m_452+7.1m_461+7.1m_4927+7.1m_517+7.1m_5178+7.1m_5314+7.1m_5383+7.1m_550+7.1m_5843+7.1m_5885+7.1m_968+7.1m_976+ft_id_1063+ft_id_1326+ft_id_1360+ft_id_1463+ft_id_150+ft_id_1882+ft_id_196+ft_id_305+ft_id_553+ft_id_805}","7.1m_1077+7.1m_1438+7.1m_254+7.1m_2687+7.1m_3346+7.1m_3391+7.1m_3569+7.1m_3688+7.1m_4129+7.1m_415+7.1m_4175+7.1m_4223+7.1m_452+7.1m_461+7.1m_4927+7.1m_517+7.1m_5178+7.1m_5314+7.1m_5383+7.1m_550+7.1m_5843+7.1m_5885+7.1m_968+7.1m_976+ft_id_1063+ft_id_1326+ft_id_1360+ft_id_1463+ft_id_150+ft_id_1882+ft_id_196+ft_id_305+ft_id_553+ft_id_805","{1991|1930|1901|1927|1986|1993|1979|1993|1995|1978|2005|1945|1983|2003|1965|1855|1946|1996|2005|2001|1960|1927|1979|2017|1855|1978|1921|1960|2003|1940|1924|1947|1990|1966}","1990",,
"City","1.0","City-{ft_id_178}","ft_id_178","{Mexico City}","Mexico City",,
"Revenue","0.5","Revenue-{dbpedia_4637+ft_id_721}","dbpedia_4637+ft_id_721","{9601000000|20434000000}","9601000000",,
"Name","0.13333333333333333","Name-{7.1m_1466+7.1m_2011+7.1m_2735+7.1m_3010+7.1m_328+7.1m_384+7.1m_620+7.1m_6994+7.1m_86+dbpedia_2660+dbpedia_2662+ft_id_1868+ft_id_393+ft_id_972+ft_id_98}","7.1m_1466+7.1m_2011+7.1m_2735+7.1m_3010+7.1m_328+7.1m_384+7.1m_620+7.1m_6994+7.1m_86+dbpedia_2660+dbpedia_2662+ft_id_1868+ft_id_393+ft_id_972+ft_id_98","{sag-aftra|sapient|sabc|safaricom|samsung|saic|saint-gobain|sabb|sanofi|Sanofi|Sasol|Saputo|Sampo|Sasol|Sanofi}","sabb",,
"NumberOfEmployees","0.8","NumberOfEmployees-{7.1m_1405+7.1m_253+7.1m_307+7.1m_4172+7.1m_483+7.1m_4883+dbpedia_1345+dbpedia_5446+dbpedia_6678+dbpedia_718+ft_id_10+ft_id_1042+ft_id_1231+ft_id_1941+ft_id_34}","7.1m_1405+7.1m_253+7.1m_307+7.1m_4172+7.1m_483+7.1m_4883+dbpedia_1345+dbpedia_5446+dbpedia_6678+dbpedia_718+ft_id_10+ft_id_1042+ft_id_1231+ft_id_1941+ft_id_34","{17111|40564|40685|5085|31820|4865|20000|75000|150269|325000|156500|24389|71692|6000|152840}","150269","true","75000"
"Name","0.0","Name-{dbpedia_5150+ft_id_800}","dbpedia_5150+ft_id_800","{Samsung Fire & Marine Insurance|Samsung Fire & Marine}","Samsung Fire & Marine",,
"FoundingYear","0.18181818181818182","FoundingYear-{7.1m_1161+7.1m_1170+7.1m_1746+7.1m_2755+7.1m_2853+7.1m_3008+7.1m_6083+ft_id_1225+ft_id_489+ft_id_685+ft_id_893}","7.1m_1161+7.1m_1170+7.1m_1746+7.1m_2755+7.1m_2853+7.1m_3008+7.1m_6083+ft_id_1225+ft_id_489+ft_id_685+ft_id_893","{1979|1946|1899|1952|1925|1947|1890|1939|1890|1887|1952}","1952",,
"City","1.0","City-{ft_id_1926}","ft_id_1926","{Rosemont}","Rosemont",,
"Revenue","0.5","Revenue-{dbpedia_1671+ft_id_1373}","dbpedia_1671+ft_id_1373","{4600000000|5639000000}","4600000000",,
"FoundingYear","0.0","FoundingYear-{7.1m_7069+ft_id_888}","7.1m_7069+ft_id_888","{1880|2002}","2002",,
"City","1.0","City-{ft_id_177}","ft_id_177","{Tokyo}","Tokyo",,
"Revenue","0.5","Revenue-{dbpedia_2480+ft_id_745}","dbpedia_2480+ft_id_745","{111000000000|34068000000}","111000000000",,
"Name","0.5","Name-{dbpedia_3834+ft_id_810}","dbpedia_3834+ft_id_810","{Westlake Chemical|Westlake Chemical}","Westlake Chemical",,
"CeoNames","0.5","CeoNames-{dbpedia_1237+ft_id_694}","dbpedia_1237+ft_id_694","{[, , ]|[, Jeffrey Steven Sloan, ]}","[, , ]",,
"Country","0.0","Country-{7.1m_5862+ft_id_1111}","7.1m_5862+ft_id_1111","{canada|United States}","canada",,
"FoundingYear","0.2857142857142857","FoundingYear-{7.1m_2062+7.1m_2352+7.1m_2495+7.1m_353+7.1m_6501+7.1m_96+ft_id_186}","7.1m_2062+7.1m_2352+7.1m_2495+7.1m_353+7.1m_6501+7.1m_96+ft_id_186","{1996|1838|1973|1956|1956|2003|1879}","1879",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_1+ft_id_384}","7.1m_1+ft_id_384","{341369|592195}","592195",,
"NumberOfEmployees","0.5","NumberOfEmployees-{7.1m_109+7.1m_3595+dbpedia_4271+ft_id_683}","7.1m_109+7.1m_3595+dbpedia_4271+ft_id_683","{96521|6280|24400|24400}","24400",,
"CeoNames","0.75","CeoNames-{dbpedia_5378+ft_id_1928+ft_id_847+ft_id_900}","dbpedia_5378+ft_id_1928+ft_id_847+ft_id_900","{[, , ]|[, Andrew C. Florance, ]|[, Dominic Blakemore, ]|[, Steven Cain, ]}","[, Dominic Blakemore, ]",,
"Industries","1.0","Industries-{7.1m_5794+ft_id_1725}","7.1m_5794+ft_id_1725","{[, internet, ]|[, Chemicals, ]}","[]",,
"Country","1.0","Country-{ft_id_920}","ft_id_920","{United Kingdom}","United Kingdom",,
"Revenue","0.5","Revenue-{dbpedia_5620+ft_id_1585}","dbpedia_5620+ft_id_1585","{4300000000|4858000000}","4300000000",,
"City","0.0","City-{7.1m_6277+ft_id_1665}","7.1m_6277+ft_id_1665","{kuala lumpur|Dusseldorf}","Dusseldorf",,
"FoundingYear","1.0","FoundingYear-{7.1m_1242+ft_id_547}","7.1m_1242+ft_id_547","{1965|1965}","1965",,
"Revenue","1.0","Revenue-{ft_id_106}","ft_id_106","{21853000000}","21853000000",,
"FoundingYear","1.0","FoundingYear-{7.1m_3659+ft_id_1852}","7.1m_3659+ft_id_1852","{1912|1912}","1912",,
"NumberOfEmployees","0.75","NumberOfEmployees-{7.1m_1405+7.1m_253+7.1m_307+dbpedia_1345+dbpedia_5446+ft_id_10+ft_id_1042+ft_id_1231}","7.1m_1405+7.1m_253+7.1m_307+dbpedia_1345+dbpedia_5446+ft_id_10+ft_id_1042+ft_id_1231","{17111|40564|40685|20000|75000|156500|24389|71692}","20000","true","75000"
"Name","0.5","Name-{dbpedia_6770+ft_id_497}","dbpedia_6770+ft_id_497","{Fast Retailing|Fast Retailing}","Fast Retailing",,
"City","1.0","City-{ft_id_1925}","ft_id_1925","{Paris}","Paris",,
"Industries","1.0","Industries-{7.1m_1098+7.1m_1360+7.1m_2403+7.1m_3259+7.1m_3495+7.1m_416+7.1m_448+7.1m_6063+ft_id_1603+ft_id_373}","7.1m_1098+7.1m_1360+7.1m_2403+7.1m_3259+7.1m_3495+7.1m_416+7.1m_448+7.1m_6063+ft_id_1603+ft_id_373","{[, retail, ]|[, computer software, ]|[, information technology and services, ]|[, pharmaceuticals, ]|[, wholesale, ]|[, oil & energy, ]|[, oil & energy, ]|[, marketing and advertising, ]|[, IT Software & Services, ]|[, Food Markets, ]}","[]",,
"NumberOfEmployees","0.5","NumberOfEmployees-{dbpedia_498+ft_id_435}","dbpedia_498+ft_id_435","{44000|39040}","44000",,
"FoundingYear","1.0","FoundingYear-{7.1m_4751+ft_id_938}","7.1m_4751+ft_id_938","{1919|1919}","1919",,
"NumberOfEmployees","0.5","NumberOfEmployees-{7.1m_5313+dbpedia_3748+dbpedia_3749+ft_id_1086}","7.1m_5313+dbpedia_3748+dbpedia_3749+ft_id_1086","{5157|137000|137000|137542}","137000",,
"Country","0.0","Country-{7.1m_6065+ft_id_1379}","7.1m_6065+ft_id_1379","{russia|Russia}","russia",,
"CeoNames","0.3333333333333333","CeoNames-{dbpedia_3464+dbpedia_5327+ft_id_1242}","dbpedia_3464+dbpedia_5327+ft_id_1242","{[, , ]|[, , ]|[, Masaaki Tanaka, ]}","[, , ]",,
"Country","1.0","Country-{ft_id_1378}","ft_id_1378","{United States}","United States",,
"Industries","0.6666666666666666","Industries-{7.1m_3773+dbpedia_1255+ft_id_633}","7.1m_3773+dbpedia_1255+ft_id_633","{[, chemicals, ]|[, Petroleum industry, ]|[, Oil & Gas Operations, ]}","[]",,
"Revenue","1.0","Revenue-{ft_id_109}","ft_id_109","{99409000000}","99409000000",,
"City","0.0","City-{7.1m_1484+7.1m_2320+7.1m_6298+ft_id_1253}","7.1m_1484+7.1m_2320+7.1m_6298+ft_id_1253","{zurich|austin|new york|Marlborough}","austin",,
"City","1.0","City-{ft_id_1924}","ft_id_1924","{Denver}","Denver",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_4678+ft_id_308}","7.1m_4678+ft_id_308","{5162|3795}","3795",,
"CeoNames","0.5","CeoNames-{dbpedia_6456+ft_id_1224}","dbpedia_6456+ft_id_1224","{[, , ]|[, Bilal Eksi, ]}","[, Bilal Eksi, ]",,
"Country","0.0","Country-{7.1m_1450+7.1m_1638+ft_id_231}","7.1m_1450+7.1m_1638+ft_id_231","{united states|pakistan|Thailand}","Thailand",,
"Name","1.0","Name-{7.1m_148+ft_id_560}","7.1m_148+ft_id_560","{best buy|Best Buy}","best buy",,
"Industries","1.0","Industries-{7.1m_1098+7.1m_2403+7.1m_3495+7.1m_448+ft_id_1603}","7.1m_1098+7.1m_2403+7.1m_3495+7.1m_448+ft_id_1603","{[, retail, ]|[, information technology and services, ]|[, wholesale, ]|[, oil & energy, ]|[, IT Software & Services, ]}","[]",,
"Name","0.4","Name-{7.1m_1495+7.1m_3112+dbpedia_5729+ft_id_1382+ft_id_1517}","7.1m_1495+7.1m_3112+dbpedia_5729+ft_id_1382+ft_id_1517","{agility|aggreko|AGCO|AGCO|Agility}","AGCO",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_115+7.1m_2622+7.1m_2910+7.1m_5858+7.1m_633+7.1m_6706+7.1m_6710+7.1m_752+7.1m_9+dbpedia_5096+ft_id_1556+ft_id_1785+ft_id_19}","7.1m_115+7.1m_2622+7.1m_2910+7.1m_5858+7.1m_633+7.1m_6706+7.1m_6710+7.1m_752+7.1m_9+dbpedia_5096+ft_id_1556+ft_id_1785+ft_id_19","{83052|4532|5990|3951|26838|2561|2507|29830|269659|104430|6433|109135|203000}","104430",,
"CeoNames","0.6666666666666666","CeoNames-{dbpedia_2422+ft_id_546+ft_id_610}","dbpedia_2422+ft_id_546+ft_id_610","{[, , ]|[, Seetarama Kotagiri, ]|[, Anthony G. Capuano, ]}","[, Anthony G. Capuano, ]",,
"Revenue","0.5","Revenue-{dbpedia_6409+ft_id_1138}","dbpedia_6409+ft_id_1138","{270960000000|13271000000}","270960000000",,
"CeoNames","1.0","CeoNames-{dbpedia_466+ft_id_1128}","dbpedia_466+ft_id_1128","{[, , ]|[, Andrew M. Meslow, ]}","[, Andrew M. Meslow, ]",,
"Revenue","1.0","Revenue-{ft_id_1361}","ft_id_1361","{5103000000}","5103000000",,
"FoundingYear","1.0","FoundingYear-{ft_id_428}","ft_id_428","{1901}","1901",,
