"RecordIDS","AverageConsistency","Name-Consistency","Name-Values","Country-Consistency","Country-Values","NumberOfEmployees-Consistency","NumberOfEmployees-Values","Revenue-Consistency","Revenue-Values","FoundingYear-Consistency","FoundingYear-Values","Industries-Consistency","Industries-Values","City-Consistency","City-Values","Website-Consistency","Website-Values","CeoNames-Consistency","CeoNames-Values"
"7.1m_44885+dbpedia_4365","1.0","1.0","{outsource partners international|Outsource Partners International}","1.0","{united states}","1.0","{1044|3700}","1.0","{76000000}","1.0","{2002}","1.0","{[, outsourcing/offshoring, ]|[, Outsourcing, ]}","1.0","{new york}",,,"1.0","{[, , ]}"
"7.1m_14756+7.1m_3232+dbpedia_4560","0.75","0.6666666666666666","{havas|havas|Havas}","0.5","{france|france}","0.6666666666666666","{3210|15376|17500}","1.0","{1441000000}","1.0","{1991}","0.6666666666666666","{[, marketing and advertising, ]|[, marketing and advertising, ]|[, Service (economics), ]}","0.5","{puteaux|puteaux}",,,"1.0","{[, , ]}"
"7.1m_2409+dbpedia_4343+ft_id_734","0.8888888888888888","1.0","{singtel|Singtel|SingTel}","0.0","{singapore|Singapore}","1.0","{9600|25000}","1.0","{16540000000|11835000000}","1.0","{1879}","1.0","{[, telecommunications, ]|[, Telecommunications, ]|[, Telecommunications Services, ]}","1.0","{Singapore}","1.0","{http://www.singtel.com}","1.0","{[, , ]|[, Kuan Moon Yuen, ]}"
"7.1m_15257+dbpedia_2376","1.0","1.0","{travelcenters of america|TravelCenters of America}","1.0","{united states}","1.0","{1380|20259}","1.0","{6100000000}",,,"1.0","{[, retail, ]|[, Truck stop, ]}","1.0","{westlake}",,,"1.0","{[, , ]}"
"7.1m_46273+dbpedia_2891","1.0","1.0","{clovis oncology|Clovis Oncology}","1.0","{united states}","1.0","{363|429}","1.0","{165000000}","1.0","{2009}","1.0","{[, biotechnology, ]|[, Pharmaceutical industry, ]}","1.0","{boulder}",,,"1.0","{[, , ]}"
"7.1m_480+dbpedia_1307","1.0","1.0","{technip|Technip}",,,"1.0","{36232|37500}","1.0","{10700000000}","1.0","{1958}","1.0","{[, oil & energy, ]|[, Engineering, ]}",,,,,"1.0","{[, , ]}"
"7.1m_15055+dbpedia_4774","1.0","1.0","{workfront|Workfront}","1.0","{united states}","1.0","{1485|671}","1.0","{230000000}","1.0","{2001}","1.0","{[, computer software, ]|[, Software as a service, ]}","1.0","{lehi}",,,"1.0","{[, , ]}"
"dbpedia_580+ft_id_24","0.7222222222222222","0.5","{Volkswagen Group|Volkswagen Group}","1.0","{Germany}","0.5","{307342|672789}","0.5","{222884000000|295733000000}","1.0","{1937}","0.5","{[, Automotive industry, ]|[, Consumer Durables, ]}","1.0","{Wolfsburg}","1.0","{http://ww.volkswagengroupofamerica.com}","0.5","{[, , ]|[, Herbert Diess, ]}"
"7.1m_13224+dbpedia_861","1.0","1.0","{rcr tomlinson|RCR Tomlinson}","1.0","{australia}","1.0","{2403|3400}","1.0","{2000000000}","1.0","{1898}","1.0","{[, mechanical or industrial engineering, ]|[, Engineering, ]}","1.0","{sydney}",,,"1.0","{[, , ]}"
"7.1m_1557+dbpedia_3145","1.0","1.0","{gucci|Gucci}","1.0","{italy}","1.0","{12628|17157}","1.0","{9}","1.0","{1921}","1.0","{[, luxury goods & jewelry, ]|[, Fashion, ]}","1.0","{florence}",,,"1.0","{[, , ]}"
"7.1m_558+dbpedia_4587+ft_id_172","0.5555555555555556","0.6666666666666666","{blackrock|BlackRock|BlackRock}","0.0","{united states|United States}","0.6666666666666666","{24932|16500|18400}","0.5","{22000000000|20296000000}","1.0","{1988|1988}","0.6666666666666666","{[, financial services, ]|[, Investment management, ]|[, Diversified Financials, ]}","0.0","{new york|New York}","1.0","{http://www.blackrock.com}","0.5","{[, , ]|[, Laurence Douglas Fink, ]}"
"7.1m_172884+dbpedia_276","0.875","0.0","{united cooperative|United Co-operatives}","1.0","{united states}","1.0","{104|87500}","1.0","{9000000000}","1.0","{1936}","1.0","{[, farming, ]|[, Funeral director
				Pharmacy
				Supermarket
				Travel agency, ]}","1.0","{beaver dam}",,,"1.0","{[, , ]}"
"7.1m_270+dbpedia_6835","1.0","1.0","{sopra steria|Sopra Steria}","1.0","{france}","1.0","{44388|46000}","1.0","{4262000000}","1.0","{1968}","1.0","{[, information technology and services, ]|[, IT service management
				Information technology, ]}","1.0","{france}",,,"1.0","{[, , ]}"
