"","name","domain","year founded","industry","size range","locality","country","linkedin url","current employee estimate","total employee estimate"
"5315002","rsm us llp","rsmus.com","1926.0","accounting","10001+","chicago, illinois, united states","united states","linkedin.com/company/rsm-us-llp","8966","22770"
"5321372","state of michigan","michigan.gov","1837.0","government administration","10001+","lansing, michigan, united states","united states","linkedin.com/company/state-of-michigan","8963","14012"
"5515354","cemex","cemex.com","1906.0","building materials","10001+","san pedro garza garcía, nuevo león, mexico","mexico","linkedin.com/company/cemex","8962","22190"
"6051969","verizon business","verizonenterprise.com","1988.0","information technology and services","10001+","basking ridge, new jersey, united states","united states","linkedin.com/company/verizonenterprisesolutions","8942","33858"
"5271078","pratt & whitney","utc.com","1925.0","aviation & aerospace","10001+","east hartford, connecticut, united states","united states","linkedin.com/company/pratt-&-whitney","8924","20376"
"192217","shire","shire.com","1986.0","biotechnology","10001+","dublin, dublin, ireland","ireland","linkedin.com/company/shire","8909","16980"
"182223","monash university","monash.edu","","higher education","10001+","clayton, victoria, australia","australia","linkedin.com/company/monash-university","8904","20714"
"4118584","us air force reserve","afreserve.com","1948.0","military","10001+","tinker afb, oklahoma, united states","united states","linkedin.com/company/us-air-force-reserve","8903","17606"
"5865765","intermountain healthcare","","1975.0","hospital & health care","10001+","murray, utah, united states","united states","linkedin.com/company/intermountain-healthcare","8900","15063"
"1211259","the kraft heinz company","kraftheinzcompany.com","2015.0","food & beverages","10001+","pittsburgh, pennsylvania, united states","united states","linkedin.com/company/the-kraft-heinz-company","8898","24428"
"3431043","canada post / postes canada","canadapost.ca","","package/freight delivery","10001+","ottawa, ontario, canada","canada","linkedin.com/company/canada-post","8897","13814"
"5305767","enel","enel.com","1962.0","utilities","10001+","rome, lazio, italy","italy","linkedin.com/company/enel","8892","14556"
"6543832","correios","correios.com.br","1969.0","government administration","10001+","brasília, federal district, brazil","brazil","linkedin.com/company/correios","8880","14868"
"3950335","cb&i","cbi.com","1889.0","oil & energy","10001+","the woodlands, texas, united states","united states","linkedin.com/company/cb&i","8878","24410"
"5159156","usda","usda.gov","1862.0","government administration","10001+","washington, district of columbia, united states","united states","linkedin.com/company/usda","8873","18998"
"6923109","securitas security services usa, inc.","securitasinc.com","1850.0","security and investigations","10001+","stockholm, stockholms lan, sweden","sweden","linkedin.com/company/securitas-security-services-usa-inc","8851","18536"
"3488104","suncor energy","suncor.com","1967.0","oil & energy","10001+","calgary, alberta, canada","canada","linkedin.com/company/suncor-energy","8820","21158"
"3120241","sinsilog's network and marketing","lagendaperang.blogspot.com","","marketing and advertising","10001+","pitas, sabah, malaysia","malaysia","linkedin.com/company/sinsilog's-network-and-marketing","8815","8852"
"5799337","luxottica","luxottica.com","1961.0","apparel & fashion","10001+","milan, lombardy, italy","italy","linkedin.com/company/luxottica","8804","21785"
"1817912","c&a","c-and-a.com","1841.0","apparel & fashion","10001+","dusseldorf, nordrhein-westfalen, germany","germany","linkedin.com/company/c&a","8800","22824"
"3065549","national institutes of health","nih.gov","1887.0","research","10001+","bethesda, maryland, united states","united states","linkedin.com/company/national-institutes-of-health","8782","25169"
"4282743","kindred healthcare","kindredhealthcare.com","1985.0","hospital & health care","10001+","louisville, kentucky, united states","united states","linkedin.com/company/kindred-healthcare","8775","18259"
"2501749","home instead senior care","homeinstead.com","1994.0","individual & family services","10001+","omaha, nebraska, united states","united states","linkedin.com/company/home-instead-senior-care","8759","13772"
"147405","tyson foods","tysonfoods.com","1935.0","food production","10001+","springdale, arkansas, united states","united states","linkedin.com/company/tyson-foods","8747","16056"
"64621","clark county school district","ccsd.net","1956.0","education management","10001+","las vegas, nevada, united states","united states","linkedin.com/company/clark-county-school-district","8744","12246"
"618247","lendlease","lendlease.com","1958.0","construction","10001+","sydney, new south wales, australia","australia","linkedin.com/company/lend-lease","8719","23958"
